#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      209.4   114.0    93.8   148.1   158.0   200.4   217.4   227.9   234.7   245.1   257.5   285.0   356.5  1160.2  6984.4   4943.0     5000  1778157254970  1778157257231
read      227.2    79.9    80.4   136.9   156.2   225.6   247.8   259.9   268.4   278.0   292.5   315.2   370.9   503.6  3226.6  15116.5    15000  1778157258735  1778157260976
read      236.1    68.3    68.9   129.3   145.3   238.3   265.8   279.7   289.8   301.3   316.4   340.8   394.3   486.2  1386.0  25047.5    25000  1778157262480  1778157264680
read      246.5   115.0    74.4   126.4   141.2   247.2   282.0   298.6   310.4   322.8   340.4   367.1   430.0  1162.2  3741.8  35044.0    35000  1778157266183  1778157268385
read      243.6    88.5    74.4   120.3   134.1   243.9   286.1   305.6   318.1   333.6   352.0   380.7   445.8   602.1  1818.4  44836.0    45000  1778157269889  1778157272089
read      244.2   119.0    74.4   118.3   131.6   237.5   287.5   310.4   325.4   342.4   364.4   397.0   466.0   633.2  3236.7  54739.5    55000  1778157273593  1778157275795
read      249.2   116.1    68.9   116.6   130.5   238.0   293.9   318.9   336.3   355.8   379.6   417.3   502.4   711.7  2349.2  65277.0    65000  1778157277299  1778157279499
read      245.9   104.1    74.4   115.3   128.9   231.2   286.3   313.6   332.4   353.9   381.3   425.2   524.4   728.4  1708.7  75159.0    75000  1778157281002  1778157283203
read      252.7   123.2    74.4   118.8   133.3   237.2   290.8   317.7   336.8   359.1   388.3   433.7   545.1   797.9  4434.9  85196.8    85000  1778157284707  1778157286907
read      253.8   105.7    74.4   120.6   135.8   237.9   290.0   317.7   338.0   361.7   392.3   439.7   548.4   776.0  1149.8  94773.0    95000  1778157288411  1778157290616
read      269.5   119.2    74.4   125.0   141.4   250.7   303.8   333.8   356.0   383.3   421.1   482.8   622.0   865.1  1683.9 104818.5   105000  1778157292119  1778157294320
read      373.9   231.0    80.4   142.7   165.6   328.0   411.5   460.4   498.9   549.5   638.5   791.0  1027.7  2106.4  4751.4 114877.9   115000  1778157295825  1778157298027
read      307.2   146.8    74.4   138.2   158.3   279.7   340.7   376.7   403.0   436.6   487.0   577.1   777.9   997.1  2314.1 125253.6   125000  1778157299531  1778157301731
