#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      206.4   128.3    80.4   144.4   154.6   196.3   213.3   222.8   230.1   238.6   252.1   274.9   366.3  1220.8  7537.5   4989.5     5000  1778157393800  1778157396060
read      221.9    87.5    74.4   137.5   155.0   219.6   240.2   251.9   260.9   271.2   286.0   309.9   368.5   503.7  3109.7  15116.0    15000  1778157397564  1778157399803
read      236.7    69.2    68.9   129.9   146.4   239.3   266.3   280.0   290.0   301.1   315.6   339.8   397.4   529.9  2041.5  24855.5    25000  1778157401307  1778157403508
read      244.1    85.6    74.4   122.7   138.4   247.8   281.4   297.2   309.0   320.9   339.3   366.5   429.2   622.8  2772.6  34966.0    35000  1778157405012  1778157407215
read      246.2    88.2    74.4   121.2   135.6   246.4   288.9   308.5   321.3   337.4   357.2   388.2   461.1   593.4  1073.5  44928.5    45000  1778157408720  1778157410919
read      251.8    99.8    74.4   118.9   133.1   247.0   297.6   319.9   336.0   353.9   375.7   411.4   500.0   714.1  1460.7  54856.5    55000  1778157412424  1778157414625
read      248.5   117.3    68.9   116.4   130.5   236.8   291.3   316.3   333.4   352.3   375.9   414.9   504.7   994.7  2749.3  65064.0    65000  1778157416130  1778157418331
read      251.6   106.0    74.4   117.9   132.4   237.5   293.3   320.0   339.1   361.0   388.5   430.3   531.5   717.9  1838.9  75092.3    75000  1778157419836  1778157422036
read      253.9   124.1    74.4   119.1   133.2   237.1   291.4   319.5   339.4   362.6   392.7   441.6   556.0   833.0  3175.4  84225.9    85000  1778157423542  1778157425742
read      261.0   114.0    74.4   124.3   140.0   243.7   295.3   323.0   343.6   368.8   401.3   456.3   579.0   953.1  1527.0  95028.0    95000  1778157427246  1778157429448
read      273.7   120.1    74.4   129.3   146.2   254.7   307.4   337.1   359.5   386.6   423.3   484.1   625.0   887.5  2288.4 104741.3   105000  1778157430952  1778157433156
read      285.9   150.1    74.4   134.0   151.9   260.9   316.3   349.4   374.2   404.8   445.7   509.4   669.5  1086.9  4476.0 115403.1   115000  1778157434660  1778157436864
read      444.1   231.4    74.4   170.7   206.4   407.0   478.8   527.6   577.8   668.3   773.5   876.1  1029.0  1521.8  4695.3 120351.9   125000  1778157438368  1778157440573
