#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      212.3    89.2    86.8   145.2   156.8   201.4   219.9   231.4   239.9   251.1   267.6   298.3   397.3  1498.1  3113.0   4976.5     5000  1778157329830  1778157332087
read      228.2    81.3    68.9   141.7   160.0   225.1   246.8   258.4   267.2   276.4   291.4   315.0   391.4   793.9  2998.9  14872.5    15000  1778157333592  1778157335828
read      237.8    66.2    74.4   130.8   147.5   240.3   267.3   281.0   290.6   301.8   316.7   340.8   400.3   533.9  1019.5  24930.0    25000  1778157337332  1778157339533
read      250.2    86.8    74.4   126.3   141.6   255.6   289.0   305.3   316.1   329.6   345.5   372.9   436.5   583.2  1987.2  34856.0    35000  1778157341038  1778157343238
read      247.1    89.5    74.4   122.2   136.8   247.3   290.0   309.3   321.8   337.4   356.3   385.7   456.4   575.0  2107.0  44934.0    45000  1778157344743  1778157346948
read      249.8    99.0    68.9   117.4   131.2   248.1   296.8   318.2   333.3   349.4   370.6   401.5   486.7   696.7  1528.9  54694.0    55000  1778157348453  1778157350653
read      249.8   105.7    74.4   116.7   130.5   238.2   292.5   318.3   336.2   356.6   382.7   425.2   523.4   751.0  1851.0  65004.0    65000  1778157352157  1778157354358
read      250.6   112.1    68.9   117.6   131.6   237.0   290.9   317.5   336.0   357.6   385.7   429.5   529.7   725.6  2285.1  75149.5    75000  1778157355862  1778157358062
read      247.6   107.0    68.9   117.7   131.3   229.4   283.3   312.0   332.3   355.9   386.4   433.8   548.0   820.5  1577.4  84944.6    85000  1778157359565  1778157361766
read      257.2   125.8    74.4   121.6   137.2   240.2   291.5   319.0   339.1   363.5   395.3   446.9   563.4   843.7  3749.0  94885.5    95000  1778157363269  1778157365470
read      318.8   174.0    74.4   130.4   149.9   284.2   350.6   392.2   425.0   466.5   525.0   629.8   905.7  1323.9  3350.9 104895.4   105000  1778157366975  1778157369175
read      377.9   204.4    74.4   144.7   169.2   336.5   420.6   466.8   502.9   552.5   647.7   806.6  1004.2  1234.6  2962.9 114717.9   115000  1778157370678  1778157372883
read      367.2   193.9    74.4   154.9   180.3   328.1   400.2   445.6   482.7   532.6   604.1   721.5   958.3  1603.2  3994.7 125099.6   125000  1778157374387  1778157376587
