#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      211.1   136.0    93.8   145.4   156.5   201.8   220.1   231.2   239.2   249.8   264.0   287.5   357.7  1182.4  7260.1   4946.5     5000  1778157880700  1778157882961
read      248.2    77.3    74.4   138.6   159.7   245.3   274.8   290.9   302.3   315.7   333.4   360.0   423.1  1023.4  1602.2  14917.4    15000  1778157884466  1778157886704
read      261.9    93.7    80.4   128.9   147.0   260.2   300.1   320.9   335.4   351.2   371.5   402.6   471.0   597.7  2201.0  24964.0    25000  1778157888207  1778157890408
read      275.5   112.8    74.4   120.3   137.5   270.0   321.2   348.2   366.9   388.3   414.6   454.2   539.3   752.8  1284.4  34914.5    35000  1778157891913  1778157894113
read      289.0   133.7    74.4   120.7   137.5   275.5   339.9   373.2   396.1   422.1   454.3   502.0   604.2   863.8  2571.3  44734.5    45000  1778157895618  1778157897818
read      299.9   164.1    68.9   118.5   134.4   276.6   353.1   392.4   420.1   451.3   489.4   544.7   671.8  1538.7  4571.3  55110.0    55000  1778157899323  1778157901524
read      325.7   178.4    68.9   119.8   137.0   286.1   382.6   434.0   469.2   508.9   559.2   634.5   859.0  1316.1  2200.5  64978.5    65000  1778157903029  1778157905228
read      865.4  1584.3    74.4   151.7   174.1   287.9   362.9   415.5   467.0  1124.1  2768.9  5320.0  7393.5  9243.4 10667.4  71854.0    75000  1778157906733  1778157908934
read      862.1  1782.2    74.4   151.3   171.4   277.3   327.1   358.9   385.7   429.1  2841.5  6169.4  7540.9  9535.6 11844.3  77869.5    85000  1778157910439  1778157912640
read      893.9  1798.0    86.8   156.5   175.9   292.6   341.9   372.3   399.4   450.1  3015.3  6210.1  7379.0  9266.6 12229.8  75951.0    95000  1778157914145  1778157916350
read      848.1  1784.7    74.4   147.9   167.5   272.1   314.9   342.7   367.6   405.1  2614.5  6195.3  7359.3  9310.8 12471.4  80391.5   105000  1778157917856  1778157920056
read      832.4  1753.2    80.4   144.7   164.2   270.3   308.4   332.3   352.8   389.5  2436.3  6165.3  7263.8  9044.6 12303.6  81993.5   115000  1778157921561  1778157923769
read      879.2  1793.2    74.4   152.1   172.5   281.7   332.4   366.3   395.5   444.9  3038.3  6190.9  7470.5  9329.4 10866.7  77772.7   125000  1778157925272  1778157927473
