#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      213.8    91.0    93.8   147.0   159.6   207.0   226.6   237.2   246.0   254.9   269.6   292.8   360.1  1143.0  2034.4   5080.5     5000  1778157821377  1778157823644
read      241.4    71.6    86.8   137.2   156.1   239.4   267.5   282.3   292.9   306.0   321.0   346.7   405.5   581.3  1987.5  14903.0    15000  1778157825148  1778157827393
read      267.0   119.3    74.4   128.8   147.6   264.1   304.3   324.7   339.9   357.6   378.5   411.0   485.7   857.9  3379.1  25106.0    25000  1778157828897  1778157831099
read      280.5   112.2    74.4   121.1   138.7   276.4   327.5   354.3   372.3   394.4   421.8   461.4   548.5   721.8  1886.2  34975.5    35000  1778157832602  1778157834802
read      293.1   131.2    74.4   119.9   137.2   282.1   345.2   378.1   400.9   427.2   459.7   507.8   617.8  1052.4  1795.2  44744.2    45000  1778157836307  1778157838508
read      291.6   147.6    68.9   119.0   134.6   271.0   345.9   384.1   410.5   439.3   474.6   528.0   630.7   853.6  3632.2  54936.0    55000  1778157840013  1778157842211
read      320.5   177.3    68.9   119.7   136.2   280.5   378.5   430.2   464.9   503.7   550.3   626.8   807.0  1226.1  2331.8  64991.0    65000  1778157843715  1778157845916
read      501.7   601.6    74.4   129.2   147.9   279.0   419.3   556.5   666.6   828.7  1102.8  1707.6  2934.1  7026.1  8847.7  75104.4    75000  1778157847420  1778157849622
read      862.7  1761.0    80.4   151.4   172.2   275.3   323.6   355.4   383.6   430.7  2723.7  6174.1  6988.6  8778.3 10733.4  77785.0    85000  1778157851125  1778157853326
read      864.7  1750.1    80.4   158.5   178.4   265.5   329.9   372.2   406.6   465.9  2868.7  6155.0  7443.7  9020.5 10870.3  78346.4    95000  1778157854830  1778157857034
read      879.8  1824.4    80.4   151.4   170.1   283.2   328.9   358.3   383.6   423.6  2874.9  6231.8  7063.6  8873.5 10082.1  77632.5   105000  1778157858538  1778157860738
read      851.1  1775.5    74.4   154.8   175.9   260.0   312.4   353.5   390.9   448.4  2883.5  6156.5  7750.4  9738.9 12694.3  80094.0   115000  1778157862242  1778157864444
read      914.5  1845.8    80.4   161.0   180.1   293.4   346.2   378.9   406.0   452.8  3274.4  6248.3  7458.2  9163.1 10912.3  74906.5   125000  1778157865948  1778157868150
