Random waveform, supplied seed
Total number of intervals = 600 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056, 94134, 37808, 53481, 25666, 108853, 41576, 70282, 45769, 92383, 12100, 67747, 68933, 63242, 72993, 51022, 67069, 24895, 68588, 42706, 49479, 64792, 73879, 31893, 74262, 57246, 91617, 55173, 108633, 15720, 99961, 102613, 57169, 56950, 49938, 5383, 39719, 36653, 69482, 46749, 65109, 46501, 109480, 69433, 58157, 70737, 34617, 77563, 90036, 36689, 46832, 104903, 14153, 21674, 5689, 37781, 15507, 102064, 71340, 79815, 44352, 109562, 86219, 47335, 41962, 45802, 13389, 95780, 87844, 55903, 100902, 70988, 53831, 26948, 32347, 41050, 56197, 94617, 71839, 79082, 107630, 60164, 97878, 63680, 73888, 65499, 96906, 103287, 49664, 32535, 46477, 7459, 74137, 57061, 34213, 7432, 41605, 32998, 61636, 64695, 14063, 91302, 6064, 41354, 19863, 19488, 14040, 19538, 20199, 106657, 92457, 92780, 68203, 81753, 57748, 21027, 49680, 82042, 93691, 45291, 30437, 67422, 69956, 35404, 80225, 105585, 20088, 12672, 15696, 25951, 65007, 10189, 78008, 12678, 15922, 41774, 38788, 34559, 54825, 42697, 12669, 70047, 96137, 92934, 20597, 66597, 59987, 58456, 59958, 98221, 55912)
Average QPS expected = 57644
Timestamp start: 1778616814429
Timestamp end: 1778618614916

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      311.8   242.1    86.8   136.6   150.3   264.3   330.6   372.3   407.5   453.7   511.2   615.6   899.2  3415.6  6904.4  79478.7    79473
read      287.6   136.3    86.8   136.5   149.7   268.3   326.7   358.9   382.7   411.3   449.0   505.1   656.9  1474.8  2759.0  61369.7    61431
read      309.2   246.0    86.8   140.8   155.2   262.2   322.0   357.7   385.2   422.5   481.9   617.4  1013.3  3196.9  6966.0  86898.7    87172
read      290.4   190.2    86.8   146.0   161.7   264.3   315.5   343.5   364.6   389.7   423.4   479.2   732.6  2752.5  7058.7 107959.3   108181
read      271.1   123.6    86.8   140.2   153.6   252.1   308.6   337.2   357.1   379.1   405.3   447.6   564.2  1248.2  2906.7  80547.3    80515
read      280.4    97.1    86.8   147.5   162.2   279.8   321.0   341.6   356.6   373.2   395.6   429.4   507.2   760.4  1990.2  37203.0    37149
read      268.0   129.9   101.3   168.9   189.4   263.9   288.1   301.2   311.3   321.6   338.3   362.6   423.4  1149.0  4069.5  13380.0    13444
read      297.0   197.8    86.8   134.1   147.3   261.6   324.9   363.1   392.8   430.0   478.0   554.5   781.1  2716.9  4360.6  72020.7    72057
read      288.4   152.9    86.8   133.6   146.6   260.7   323.9   360.4   388.5   423.5   467.1   533.7   709.1  1459.6  3220.3  70165.0    70041
read      324.9   269.8    86.8   138.4   152.2   260.6   325.0   368.0   405.8   465.7   561.8   723.3  1214.1  3279.6  6977.4  90022.0    90162
read      281.5   115.5    86.8   141.2   155.0   272.2   323.8   349.5   367.6   388.9   416.3   461.5   582.6   996.4  2979.4  52003.0    52082
read      286.7    96.2   101.3   158.2   175.4   286.0   320.2   339.1   352.2   367.8   388.1   419.2   497.4   838.4  1649.7  24131.3    24258
read      303.4   179.6    86.8   137.8   151.2   269.1   333.9   372.6   404.0   444.9   496.2   576.5   793.3  1982.6  4975.5  72195.7    72013
read      292.8   191.5    86.8   137.8   151.0   272.4   329.3   360.9   384.3   412.3   450.2   506.1   661.7  2042.8  7468.0  57889.3    58012
read      282.6   113.9    86.8   140.2   153.8   274.6   324.1   350.1   369.1   391.9   421.2   465.1   568.4   928.8  2845.4  45530.0    45398
read      283.5   121.2    93.8   139.2   152.8   270.9   323.2   351.7   371.9   396.9   428.9   475.3   586.7  1290.2  2257.3  50254.0    50177
read      283.9   122.2    93.8   147.3   162.1   280.1   321.8   343.4   359.3   376.5   399.3   435.1   528.5  1185.5  4350.7  34287.7    34504
read      294.1   164.6    86.8   135.8   149.2   267.3   329.0   364.2   390.8   423.3   464.4   532.3   740.2  1935.9  3967.2  66020.7    66010
read      294.0   159.3    86.8   134.6   147.9   261.3   325.7   364.4   395.2   433.8   484.2   560.5   756.2  1777.0  2713.3  73973.0    73937
read      287.8   134.7    86.8   138.2   151.4   271.9   328.1   359.1   381.8   408.3   443.9   497.4   635.8  1231.2  2708.8  55053.0    55020
read      288.4   134.6    86.8   138.4   152.1   274.6   329.1   358.9   380.5   405.6   439.3   490.9   620.3  1371.2  2994.7  53279.3    53235
read      319.2   304.1    86.8   142.9   158.0   261.8   317.7   351.2   376.6   410.4   466.9   656.8  1378.1  4403.0  7629.6  97610.3    97743
read      243.3    79.4   109.4   173.0   187.7   237.7   255.5   266.3   273.0   282.7   294.3   316.4   372.0  1267.5  3080.2   5449.3     5419
read      265.9    79.3    93.8   165.0   185.6   265.4   289.4   302.2   312.0   322.2   338.6   363.1   418.6   593.4  2625.1  14740.7    14764
read      250.2    77.9   118.1   175.8   190.9   245.2   265.4   275.8   284.9   294.1   308.1   329.2   387.7  1141.7  2024.3   7498.7     7451
read      286.7   123.4    86.8   140.6   154.5   276.5   328.0   355.8   376.0   399.7   430.7   477.6   583.6   931.7  3021.0  48030.3    48208
read      269.9    74.6   101.3   165.0   185.6   269.1   294.9   309.5   319.0   331.7   345.4   370.6   428.2   704.4  2068.8  16011.7    16149
read      310.1   240.8    86.8   137.0   150.7   260.9   326.3   366.8   399.1   443.1   505.4   620.4  1026.8  2923.3  7810.4  79082.3    78989
read      272.7    82.1   101.3   163.5   182.4   273.7   300.3   314.2   323.5   335.9   349.4   372.3   427.4   708.9  2088.5  18943.3    18886
read      304.4   185.9    86.8   137.6   151.0   265.4   332.2   373.0   406.2   450.4   506.3   594.4   809.9  2041.3  3782.5  75697.7    75954
read      279.8   137.9    86.8   139.8   153.3   272.2   320.5   345.8   364.6   386.4   414.1   456.7   545.1   828.5  5616.9  44334.3    44409
read      263.2    83.8   101.3   159.8   178.9   262.3   287.9   301.4   311.6   322.1   338.5   363.7   418.4   640.5  3155.8  16522.3    16431
read      289.9   240.5    86.8   138.8   152.3   252.1   309.8   340.5   362.6   388.5   423.8   492.4   934.6  3280.4  7701.8  85556.3    85707
read      278.9   127.0    86.8   139.8   153.1   266.0   319.9   345.9   364.6   386.1   413.9   462.4   615.1  1089.6  2834.6  58089.7    58253
read      345.5   345.9    86.8   144.6   161.0   269.6   326.0   360.6   388.0   426.1   497.0   837.2  1831.3  3818.4  7904.3 103791.7   103867
