1778161970982,0.0
1778161971982,1.0
1778161972982,1.0
1778161973983,9.0
1778161974983,11.0
1778161975984,0.0
1778161976984,7.0
1778161977984,22.0
1778161978985,16.0
1778161979985,0.0
1778161980985,21.0
1778161981986,33.0
1778161982986,16.0
1778161983986,0.0
1778161984987,44.0
1778161985987,48.0
1778161986987,7.0
1778161987988,11.0
1778161988988,64.0
1778161989989,53.0
1778161990989,0.0
1778161991989,37.0
1778161992990,80.0
1778161993990,44.0
1778161994990,0.0
1778161995991,66.0
1778161996991,88.0
1778161997992,20.0
1778161998992,7.0
1778161999993,100.0
1778162000993,94.0
1778162001993,0.0
1778162002994,36.0
1778162003994,99.0
1778162004995,65.0
1778162005995,0.0
1778162006995,66.0
1778162007996,99.0
1778162008996,35.0
1778162009996,0.0
1778162010997,96.0
1778162011997,99.0
1778162012998,6.0
1778162013998,24.0
1778162014998,100.0
1778162015999,77.0
1778162016999,0.0
1778162018000,54.0
1778162019000,99.0
1778162020000,46.0
1778162021001,0.0
