#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      208.9   136.8    86.8   145.1   155.7   197.7   215.1   225.4   232.5   242.2   254.5   282.0   361.0  1268.3  7538.6   4980.5     5000  1778158571035  1778158573296
read      221.4    72.0    80.4   139.0   156.3   219.0   239.2   250.9   259.4   269.5   283.1   305.9   365.4   501.4  3115.3  14883.0    15000  1778158574800  1778158577042
read      237.1    66.1    80.4   131.5   148.5   239.4   266.3   279.8   289.8   301.0   315.8   339.7   395.6   501.3  1317.6  25022.5    25000  1778158578546  1778158580746
read      240.6    95.2    74.4   124.9   140.6   243.7   274.9   290.2   300.5   312.8   328.0   351.4   407.1   672.1  2949.2  34916.5    35000  1778158582250  1778158584451
read      240.9    87.4    74.4   120.9   135.3   241.5   280.6   298.8   311.5   325.5   343.4   371.5   436.6   571.8  1475.4  44905.5    45000  1778158585955  1778158588154
read      240.5   104.3    74.4   116.6   130.4   238.9   283.4   303.5   316.5   332.3   351.1   379.9   447.9   584.7  3108.2  55177.0    55000  1778158589658  1778158591857
read      238.5    97.5    68.9   117.3   130.1   228.8   281.4   304.7   319.8   336.9   357.9   390.1   463.2   594.8  1600.2  64873.0    65000  1778158593361  1778158595562
read      240.7    98.1    74.4   116.1   129.6   228.4   284.0   309.1   325.3   343.2   365.7   398.5   478.9   656.0  1852.7  74761.5    75000  1778158597067  1778158599265
read      231.6    93.7    74.4   114.9   127.5   215.4   269.5   295.8   313.1   332.4   355.8   391.5   470.0   625.3  1801.3  85293.0    85000  1778158600769  1778158602980
read      237.3    98.4    68.9   116.7   129.7   220.9   274.0   300.9   318.3   338.6   363.9   401.7   507.8   724.4  1444.2  94771.0    95000  1778158604485  1778158606701
read      234.3   152.3    74.4   118.5   131.6   216.2   264.3   290.5   308.9   329.6   355.5   395.8   491.2   745.8  4304.3 104982.6   105000  1778158608205  1778158610408
read      245.5   107.2    74.4   123.0   137.5   228.3   277.2   303.6   321.6   343.4   371.0   415.9   533.2   835.5  3063.7 115009.8   115000  1778158611912  1778158614114
read      273.4   125.3    74.4   129.4   145.9   249.7   301.8   331.5   353.8   381.9   423.6   501.4   712.9  1012.8  1397.5 124492.4   125000  1778158615619  1778158617818
