#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      224.9   138.6    93.8   150.4   162.6   212.3   232.3   245.7   255.9   269.9   288.6   319.5   431.9  1254.3  7840.1   4961.0     5000  1778158922539  1778158924797
read      225.4    75.4    80.4   140.2   158.3   222.8   243.8   254.8   264.3   273.9   289.0   312.5   373.7   845.7  2159.6  14931.0    15000  1778158926301  1778158928539
read      235.8    69.2    74.4   130.4   146.9   237.5   264.6   278.3   288.5   299.3   314.9   339.3   397.5   524.8  1187.3  25067.0    25000  1778158930044  1778158932243
read      239.4    76.6    68.9   124.6   139.8   243.6   274.6   289.9   300.1   312.5   327.7   351.3   408.7   520.0  1386.8  34973.5    35000  1778158933748  1778158935946
read      242.6    84.7    74.4   120.3   134.9   243.7   282.3   300.0   312.4   326.3   344.1   374.2   457.5   645.9  1255.1  44971.3    45000  1778158937450  1778158939649
read      242.7    94.3    74.4   119.8   133.8   237.8   285.0   305.9   319.3   336.0   356.5   388.7   465.2   685.6  1470.1  54876.5    55000  1778158941154  1778158943355
read      238.5    91.7    74.4   116.4   129.6   231.5   282.1   304.3   318.6   335.5   356.0   387.7   459.9   615.0  1187.4  65185.0    65000  1778158944859  1778158947068
read      241.9   125.4    74.4   117.0   130.1   225.5   280.2   306.1   323.0   343.0   368.3   407.1   523.5   956.3  3832.9  74782.0    75000  1778158948573  1778158950772
read      236.9   106.0    74.4   116.2   129.3   222.0   275.5   301.5   318.2   337.6   361.7   397.8   487.3   657.4  3094.6  85106.9    85000  1778158952277  1778158954479
read      239.7   114.7    74.4   117.9   131.0   220.3   272.7   300.4   318.3   339.0   365.2   404.8   537.0  1168.8  2574.5  94574.2    95000  1778158955983  1778158958184
read      252.4   138.3    74.4   120.7   134.7   226.6   278.5   306.9   327.0   350.8   384.6   445.3   701.6  1506.1  3350.6 104812.0   105000  1778158959690  1778158961889
read      247.4   131.1    74.4   121.7   135.9   227.3   277.6   305.3   324.4   346.5   376.5   427.5   560.3  1010.3  4553.3 115048.4   115000  1778158963394  1778158965594
read      300.7   161.3    80.4   131.1   147.5   259.5   324.6   366.9   401.1   448.6   512.2   623.5   843.6  1088.5  1734.5 124993.9   125000  1778158967099  1778158969298
