#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      214.7    83.2    86.8   141.2   152.4   207.0   231.7   245.6   255.0   267.1   281.6   305.2   367.1   558.1  3260.3  30021.1    30000  1776501958369  1776501968541
read      221.2    92.2    93.8   144.7   155.4   210.1   235.4   251.0   262.3   274.5   292.2   319.3   410.5  1064.5  2971.9  30064.9    30005  1776501970054  1776501980186
read      217.4    84.5    86.8   142.3   153.0   208.2   233.9   248.9   259.5   271.9   288.9   314.7   375.2   772.4  3323.5  29881.4    30010  1776501981699  1776501991800
read      220.9   102.1    93.8   142.6   153.6   209.0   234.8   250.4   262.1   275.0   293.2   320.9   404.8  1358.7  3813.5  29990.2    30015  1776501993312  1776502003412
read      225.0   118.1    93.8   142.5   153.6   210.9   237.4   253.4   265.5   279.4   298.0   332.0   441.7  1744.5  4340.0  30056.9    30020  1776502004924  1776502015024
read      225.5   126.4    93.8   142.1   153.1   210.6   238.0   254.5   267.3   282.3   302.1   335.6   429.4  1987.3  4792.2  29980.4    30025  1776502016536  1776502026635
read      229.5   132.3    93.8   143.3   154.1   212.5   241.5   258.9   271.6   287.6   308.9   344.0   457.4  2175.6  4832.1  30035.1    30030  1776502028149  1776502038249
read      228.3   116.6    86.8   143.4   154.4   212.9   241.7   259.6   272.7   289.6   312.0   347.5   436.2  1759.1  4137.6  29987.2    30035  1776502039762  1776502049863
read      220.6   133.4    93.8   141.3   151.6   206.1   232.9   249.2   261.2   274.6   293.5   323.5   411.0  1914.4  6309.9  30107.1    30040  1776502051375  1776502061475
read      223.1   135.3    93.8   142.3   152.8   207.3   234.4   251.1   263.6   277.8   296.7   329.5   419.9  2239.8  5513.4  30063.3    30045  1776502062986  1776502073089
read      222.3   111.4    93.8   142.7   153.2   208.5   235.1   252.1   264.8   279.2   297.6   329.7   415.0  1639.0  4007.1  30069.8    30050  1776502074599  1776502084698
read      225.8   117.3    93.8   144.0   155.2   212.3   239.8   256.2   268.5   283.1   302.1   334.6   417.9  1774.2  4325.0  29999.5    30055  1776502086210  1776502096314
read      227.9   122.2    93.8   142.6   153.5   211.9   241.7   260.1   273.3   289.9   310.7   343.5   432.1  1959.8  4821.8  30087.1    30060  1776502097825  1776502107926
read      228.4   133.3    93.8   141.5   152.6   211.1   240.7   259.1   272.5   289.7   312.1   347.2   444.5  2411.9  4933.8  30166.6    30065  1776502109439  1776502119540
read      219.7   104.3    93.8   141.2   151.6   206.0   233.1   249.8   262.3   276.5   295.7   327.2   404.5  1654.9  3458.4  30124.6    30070  1776502121053  1776502131155
read      220.3   101.3    93.8   140.7   151.5   207.5   234.1   250.6   262.8   276.5   295.7   327.9   410.7  1550.6  3586.5  29971.2    30075  1776502132666  1776502142767
read      216.0   105.0    86.8   139.7   149.9   203.5   230.1   245.8   257.1   270.9   289.2   317.4   393.1  1477.2  4107.8  30111.4    30080  1776502144278  1776502154379
read      226.8   122.1   101.3   145.2   155.7   212.1   239.8   256.5   269.0   283.9   303.1   335.9   426.0  1819.3  5015.6  29985.6    30085  1776502155890  1776502165995
read      233.7   126.8    93.8   147.3   158.4   218.2   247.6   265.7   278.9   295.1   316.1   347.7   433.7  1991.9  4380.7  30018.8    30090  1776502167506  1776502177608
read      217.8   137.4    93.8   139.6   149.5   201.2   227.9   243.3   254.4   268.7   286.9   316.6   423.0  2399.3  5098.6  30040.7    30095  1776502179120  1776502189220
read      227.0   134.7    93.8   143.9   154.6   210.6   237.2   253.8   266.3   280.7   299.7   335.1   469.9  2184.4  5329.8  30151.2    30100  1776502190733  1776502200835
read      219.2    90.8    93.8   142.2   153.4   209.3   235.5   251.2   262.5   274.6   291.8   317.6   388.1   801.5  3606.2  30106.9    30105  1776502202346  1776502212449
