#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      275.4   120.5   118.1   166.3   182.6   253.0   284.7   305.4   321.1   344.0   383.7   465.1   623.8  1892.4  4074.4   4957.5     5000  1778087572797  1778087575054
read      310.7   154.2    93.8   161.7   181.0   278.1   319.3   346.5   370.1   406.8   472.7   571.4   857.0  1778.4  2769.3  15041.2    15000  1778087576559  1778087578795
read      309.3   131.4    86.8   154.4   171.7   293.6   340.5   366.6   387.4   416.0   461.0   526.0   728.6  1181.7  3486.7  25078.5    25000  1778087580299  1778087582501
read      333.4   195.1    86.8   149.5   166.8   298.9   363.7   402.1   436.5   475.5   520.1   600.5   977.7  2419.4  3928.6  34741.3    35000  1778087584005  1778087586207
read      431.2   350.7    86.8   152.3   172.9   345.7   462.4   525.0   571.7   631.8   725.5   925.0  1843.8  3819.2  7680.8  45191.7    45000  1778087587712  1778087589910
read      323.6   180.1    74.4   139.7   157.7   292.2   362.3   406.5   445.4   483.0   526.1   590.0   773.0  1682.7  6344.6  54869.0    55000  1778087591415  1778087593617
read      375.1   166.4    80.4   160.7   185.7   345.2   435.2   482.2   513.4   549.5   596.3   672.6   833.1  1119.1  1681.3  65059.2    65000  1778087595121  1778087597324
read      950.4   470.2    93.8   525.0   622.0   833.8   918.8  1014.2  1163.9  1356.6  1516.1  1659.5  2187.8  7140.0 10043.7  68778.2    75000  1778087598831  1778087601040
read      905.4   414.1   118.1   547.3   611.8   800.2   880.1   973.1  1111.8  1290.9  1430.3  1559.1  1762.2  7177.8  9033.5  72516.3    85000  1778087602543  1778087604742
read      878.5   419.2   101.3   434.0   532.3   775.4   893.7  1028.1  1139.5  1262.7  1384.4  1531.6  2008.4  6638.2  8021.3  74437.6    95000  1778087606247  1778087608448
read      918.8   487.9    93.8   412.3   522.5   806.1   923.5  1047.7  1165.1  1309.1  1458.3  1643.8  2592.3  6484.7  7990.0  71134.4   105000  1778087609954  1778087612153
read      966.8   420.4   160.7   637.8   692.9   846.2   917.5   989.2  1147.6  1405.4  1540.8  1664.4  1858.5  7242.6  8102.8  68261.7   115000  1778087613659  1778087615857
read      938.9   455.4    93.8   477.5   578.0   837.2   939.7  1055.9  1177.7  1329.7  1482.9  1655.9  2076.0  7124.9  9826.2  69952.9   125000  1778087617362  1778087619564
