#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      355.3   327.7   109.4   163.9   178.7   265.7   317.3   365.1   404.1   478.0   600.7   792.7  1867.1  3425.7  5128.8   5009.0     5000  1778087457085  1778087459340
read      438.8   474.8   101.3   164.7   186.5   310.4   380.5   447.8   519.9   609.9   738.5  1067.0  2581.8  5608.5  8151.1  14908.5    15000  1778087460845  1778087463083
read      310.4   127.5    93.8   154.5   173.0   299.0   341.2   366.5   385.8   409.0   445.1   528.6   711.9  1136.3  1985.8  25073.0    25000  1778087464589  1778087466792
read      336.1   190.9    93.8   148.5   166.1   301.5   363.4   397.7   426.3   469.2   543.1   642.1  1000.6  1963.3  2932.0  35063.5    35000  1778087468297  1778087470496
read      346.0   194.9    86.8   147.0   165.2   314.6   384.9   423.9   456.3   504.1   564.1   648.1   898.0  2096.7  4397.5  44990.9    45000  1778087472000  1778087474200
read      319.2   152.7    74.4   142.9   160.0   292.0   361.9   399.9   428.0   463.5   518.3   590.0   765.8  1359.5  2772.5  54842.4    55000  1778087475705  1778087477904
read      470.0   308.0    86.8   171.0   200.3   402.3   519.6   584.5   631.1   690.6   782.4   966.1  1573.4  2916.7  5333.5  65049.5    65000  1778087479409  1778087481607
read      945.4   410.7   118.1   614.1   675.4   838.0   901.0   943.9  1058.3  1355.4  1521.2  1649.4  1834.0  7181.9  8017.6  69185.4    75000  1778087483112  1778087485313
read      889.0   439.0    93.8   389.4   490.6   794.4   940.3  1065.2  1158.8  1267.1  1399.6  1582.4  2128.3  5498.7  9080.8  73144.0    85000  1778087486818  1778087489018
read      878.2   529.5    93.8   337.5   442.1   761.7   911.6  1040.3  1141.4  1256.5  1397.1  1616.2  2789.7  6366.4 11128.8  74051.4    95000  1778087490524  1778087492723
read      870.2   379.3   118.1   533.6   597.7   766.0   847.4   940.1  1093.6  1251.3  1373.4  1494.0  1703.3  7044.5  8135.9  75465.5   105000  1778087494228  1778087496432
read      879.5   394.4   118.1   521.3   594.7   772.9   853.2   956.4  1115.5  1275.6  1395.2  1516.0  1733.0  7076.0  8668.9  74659.0   115000  1778087497937  1778087500138
read      895.8   447.2   101.3   473.9   568.6   789.3   881.5  1001.9  1129.7  1276.5  1413.4  1557.2  1892.1  7177.3  9349.0  73219.8   125000  1778087501645  1778087503844
