#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      224.9   131.3    93.8   155.7   167.5   214.8   234.3   246.8   255.1   266.6   280.6   306.6   369.4  1174.0  6979.8   4984.0     5000  1778156593519  1778156595775
read      254.4    80.5    86.8   146.4   166.4   252.0   281.6   296.4   308.4   320.7   339.1   366.7   427.6   563.8  1497.4  14989.0    15000  1778156597279  1778156599515
read      265.0   136.6    80.4   132.1   149.4   262.2   299.7   319.0   333.2   348.4   369.2   400.5   469.7  1436.7  3387.8  24952.5    25000  1778156601020  1778156603221
read      281.8   115.0    80.4   130.6   147.1   278.8   328.0   353.3   370.8   391.9   417.7   456.1   537.1   663.4  2996.4  34773.5    35000  1778156604726  1778156606925
read      286.2   136.3    74.4   126.0   143.0   276.4   335.4   366.0   387.3   411.3   440.5   485.0   573.2   688.3  4576.5  44811.5    45000  1778156608429  1778156610630
read      292.6   123.2    74.4   128.8   146.8   276.0   337.9   372.9   398.0   427.6   463.2   512.9   613.0   783.2  1695.1  54892.3    55000  1778156612135  1778156614337
read      304.4   136.2    74.4   134.3   153.1   283.3   349.7   387.9   414.9   445.9   483.5   538.5   653.1  1025.1  2334.1  64827.5    65000  1778156615841  1778156618040
read      420.9   219.1    74.4   165.9   199.8   388.4   475.4   524.4   560.5   604.8   665.8   783.8  1092.3  1352.7  7235.8  74988.5    75000  1778156619544  1778156621743
read      844.0   375.9   148.8   597.4   636.5   740.8   786.6   812.5   861.6  1195.9  1374.0  1470.6  1613.6  7061.9  9009.5  77530.5    85000  1778156623247  1778156625451
read      895.8   388.3   109.4   641.2   672.7   789.1   839.4   868.6   921.8  1286.4  1447.3  1561.8  1719.9  7221.1  7970.5  73578.0    95000  1778156626955  1778156629154
read      937.6   403.9   173.5   688.6   717.3   829.8   868.4   908.2   938.2  1229.3  1520.0  1629.8  1776.7  7245.8  9328.7  70547.5   105000  1778156630658  1778156632860
read      855.9   369.0   127.6   588.0   630.3   751.2   799.6   845.2   913.5  1236.1  1388.7  1483.5  1649.0  7078.0  7768.4  76896.5   115000  1778156634365  1778156636566
read      853.4   381.6   160.7   597.2   631.1   742.0   791.9   834.0   915.9  1267.2  1383.1  1471.1  1608.6  7098.7  9090.2  77207.0   125000  1778156638071  1778156640271
