#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      216.4    59.6    93.8   151.2   163.1   209.9   229.2   239.9   248.5   258.5   272.4   295.8   363.4  1127.3  1252.0   4976.5     5000  1778156735870  1778156738127
read      245.8    83.3    80.4   143.5   163.2   243.5   271.0   286.2   296.3   309.3   324.0   349.8   412.2   559.1  3500.2  14830.0    15000  1778156739631  1778156741868
read      265.4   101.8    80.4   130.6   148.5   266.3   304.7   323.6   337.4   352.9   372.2   402.0   463.7   555.4  3678.1  24938.5    25000  1778156743372  1778156745574
read      280.7   107.4    74.4   129.4   145.4   278.4   327.3   352.2   370.0   390.9   416.5   455.1   536.8   662.0  1885.6  35025.5    35000  1778156747079  1778156749280
read      284.8   120.8    74.4   127.1   143.9   275.2   333.7   364.4   385.8   409.5   438.1   482.3   574.1   712.0  1964.2  44814.5    45000  1778156750785  1778156752992
read      295.3   132.7    74.4   129.1   147.5   278.5   341.4   376.1   401.8   431.4   466.7   518.0   620.5   797.5  2471.2  54951.5    55000  1778156754497  1778156756699
read      313.0   134.6    80.4   138.4   158.9   294.0   358.3   396.3   424.0   455.5   494.2   549.0   662.4   834.8  1613.4  65145.0    65000  1778156758203  1778156760402
read      485.5   291.9    74.4   170.6   210.8   440.3   552.1   609.0   647.7   697.1   781.1  1011.1  1300.7  1640.6  7469.3  74571.5    75000  1778156761907  1778156764112
read      796.8   334.9   127.6   536.1   580.6   705.8   752.5   796.3   858.1  1131.0  1293.8  1398.3  1560.7  5100.9  7507.1  80777.0    85000  1778156765617  1778156767818
read      863.9   379.6   137.8   601.6   643.1   756.8   802.8   848.0   905.3  1275.7  1402.9  1494.2  1666.8  7024.9  8012.8  75960.0    95000  1778156769323  1778156771523
read      837.9   386.8   118.1   577.2   616.8   731.7   781.9   815.3   869.7  1213.9  1355.0  1457.3  1617.5  7099.7  8572.4  78367.1   105000  1778156773028  1778156775229
read      882.0   391.6   109.4   624.9   660.1   775.0   819.0   856.2   899.3  1286.6  1428.2  1537.7  1696.0  7161.8  8153.2  74676.2   115000  1778156776733  1778156778933
read      865.0   372.6   173.5   618.6   651.2   754.4   799.8   841.8   888.6  1284.4  1404.9  1490.1  1655.0  7131.3  8622.3  76289.9   125000  1778156780437  1778156782637
