#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      222.3   166.0    93.8   147.3   159.7   210.2   231.2   243.6   252.5   264.5   279.5   306.0   391.9  1682.3  9494.4   4994.0     5000  1778157105107  1778157107382
read      244.5    71.3    80.4   138.0   157.8   242.1   271.2   286.7   296.9   310.4   326.4   354.7   424.3   546.0  1188.2  15030.0    15000  1778157108887  1778157111128
read      262.9   134.3    74.4   126.6   144.4   260.0   300.1   321.0   336.2   353.2   374.5   405.8   471.4   605.6  7260.4  24942.0    25000  1778157112632  1778157114832
read      279.0   112.4    74.4   122.0   138.4   273.4   325.4   353.2   371.9   394.2   422.2   462.7   548.0   745.3  1870.2  35061.0    35000  1778157116336  1778157118538
read      289.0   136.0    68.9   118.2   133.3   274.0   338.1   374.1   399.7   429.4   464.6   516.8   624.3   833.2  3318.9  44970.5    45000  1778157120043  1778157122241
read      288.8   145.5    74.4   114.8   129.3   264.4   337.5   381.1   411.0   443.9   485.8   544.9   672.2   932.5  2519.4  54880.5    55000  1778157123745  1778157125948
read      334.3   217.8    68.9   122.2   139.0   278.5   369.9   436.8   482.5   532.0   591.7   692.7  1031.6  2077.2  3363.5  64838.3    65000  1778157127451  1778157129651
read      350.7   277.6    68.9   122.2   138.7   265.5   363.7   448.2   508.2   573.6   652.2   801.7  1305.2  2650.0  7089.5  75016.5    75000  1778157131155  1778157133362
read      813.4  1127.4    80.4   220.9   243.4   372.4   511.1   572.6   619.5   711.4  3309.0  3489.5  3750.2  7989.0  9622.7  80539.0    85000  1778157134866  1778157137069
read      941.9  1214.3   109.4   280.2   303.1   405.3   617.7   692.6   744.6  3192.7  3390.1  3594.0  4002.1  8016.1  9881.1  71308.5    95000  1778157138574  1778157140772
read      820.8  1151.4    93.8   211.4   238.5   377.0   482.6   576.3   647.4   746.6  3326.9  3517.1  3765.3  8009.8  9999.4  81728.0   105000  1778157142277  1778157144478
read      821.0  1139.1    93.8   223.9   245.0   370.1   518.6   577.2   622.6   731.4  3336.5  3544.9  3764.5  7996.2 10003.4  81433.0   115000  1778157145982  1778157148183
read      867.5  1162.5    93.8   250.0   270.5   380.1   565.3   620.9   665.4   802.7  3361.2  3562.8  3764.0  8013.8 10140.1  77301.5   125000  1778157149687  1778157151887
