#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      202.2    71.5    80.4   141.0   151.3   195.0   212.7   222.8   230.3   239.2   253.1   274.8   343.0  1161.1  2996.5   4921.0     5000  1778156976485  1778156978739
read      236.9    81.6    80.4   134.5   154.2   234.4   262.1   276.4   287.7   299.7   315.9   339.7   396.5   537.2  2879.8  15093.5    15000  1778156980243  1778156982480
read      250.1    88.1    74.4   124.9   142.2   247.2   286.1   306.4   319.7   336.2   356.3   387.2   444.0   548.6  1889.9  24868.0    25000  1778156983984  1778156986188
read      261.3    97.5    74.4   120.4   136.0   254.9   305.0   331.2   348.8   368.6   393.1   428.3   499.3   587.8  1073.3  34981.5    35000  1778156987693  1778156989893
read      282.7   134.4    74.4   116.0   130.8   272.8   332.0   364.6   387.9   414.5   446.3   494.6   589.2   866.3  3136.9  44949.5    45000  1778156991398  1778156993598
read      303.8   152.9    68.9   119.0   134.6   278.9   353.0   399.1   431.8   467.4   509.9   574.7   719.5  1007.7  1807.8  54567.9    55000  1778156995102  1778156997303
read      291.9   151.5    74.4   114.4   128.8   257.5   339.5   392.1   427.7   465.2   509.1   576.5   707.8   914.1  1317.5  65042.5    65000  1778156998808  1778157001009
read      347.1   247.1    68.9   123.5   140.0   265.0   363.8   456.4   519.1   582.3   662.2   797.9  1126.0  2126.1  4076.2  74717.5    75000  1778157002514  1778157004714
read      737.5  1031.8    74.4   185.9   215.9   348.3   469.4   535.3   583.7   686.7  2805.1  3355.5  3701.1  7969.0  9438.8  83169.5    85000  1778157006218  1778157008418
read      860.6  1177.9    86.8   235.1   260.2   386.0   547.5   614.5   667.5   795.0  3345.2  3558.1  3901.9  8047.0 16886.1  77902.5    95000  1778157009922  1778157012120
read      817.2  1143.4    74.4   222.5   244.9   367.1   515.7   576.6   621.7   708.8  3325.7  3529.8  3757.0  8035.8 10241.7  81855.0   105000  1778157013625  1778157015828
read      846.0  1146.6   101.3   237.2   259.1   377.4   542.9   600.9   642.4   746.0  3344.2  3544.0  3758.8  7988.8  9768.3  79247.5   115000  1778157017332  1778157019532
read      878.0  1173.7   101.3   247.6   270.6   388.6   565.0   630.1   679.7   838.5  3365.7  3566.9  3837.0  8010.2 10371.3  76393.0   125000  1778157021036  1778157023240
