Random waveform, supplied seed
Total number of intervals = 450 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056)
Average QPS expected = 58024
Timestamp start: 1778618925864
Timestamp end: 1778620726266

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      282.3   158.6    86.8   133.9   146.5   249.3   312.1   348.7   377.9   413.2   458.8   526.1   716.7  1705.4  3276.8  74049.0    74055
read      286.7   124.0    93.8   141.0   154.4   270.9   324.9   355.9   378.6   406.2   442.6   496.4   617.4   895.6  3047.4  51359.8    51197
read      281.1   153.9    93.8   136.8   149.3   259.9   317.2   349.8   373.9   403.5   441.2   495.8   629.6  1304.7  2675.9  59455.0    59442
read      273.0    99.2    93.8   143.6   157.5   269.0   311.1   333.5   349.0   367.8   391.2   426.3   500.0   756.6  1666.7  35573.5    35654
read      288.7   184.9    86.8   134.1   146.7   248.6   312.8   352.5   384.6   425.1   475.6   551.7   774.5  2123.3  4858.2  78884.5    78747
read      269.9   103.5    93.8   139.7   152.6   262.3   308.9   333.6   350.9   371.2   396.9   434.3   511.4   745.9  2290.6  42336.8    42212
read      273.6   119.8    86.8   136.8   149.1   259.3   311.4   340.3   362.0   387.3   419.0   464.8   566.0  1037.0  2489.1  52585.8    52488
read      271.5   102.4    93.8   141.8   155.3   266.5   308.9   331.2   346.5   365.9   389.5   425.4   501.8  1027.3  2421.8  36968.8    36950
read      262.3   101.7   101.3   158.4   177.5   260.7   286.9   300.8   311.3   322.2   339.5   365.0   422.2   751.5  2807.6  16676.2    16762
read      293.3   197.4    86.8   135.3   148.3   250.7   315.2   355.8   388.7   429.8   481.8   561.2   797.3  2539.7  5473.7  79306.2    79473
read      281.8   130.5    86.8   136.1   148.8   260.5   318.6   351.4   376.0   405.7   444.7   500.9   636.9  1231.9  2577.8  61327.2    61431
read      285.4   207.5    86.8   138.3   151.2   246.7   304.9   337.3   361.6   391.6   434.2   516.3   841.0  2874.3  5460.3  87264.5    87172
read      280.3   151.9    86.8   146.3   161.1   257.1   309.0   337.6   358.6   383.5   416.9   470.6   634.8  1863.4  3691.0 108068.8   108181
read      269.2   138.3    86.8   140.6   153.6   247.5   303.1   331.7   351.4   373.4   400.8   446.4   584.4  1494.3  4446.1  80767.0    80515
read      285.0   120.3    93.8   144.7   159.1   276.5   322.3   346.3   364.5   385.5   412.2   456.3   567.6  1318.8  2207.3  37285.2    37149
read      270.9    80.4   109.4   168.3   189.5   268.0   293.8   308.6   318.5   332.1   347.2   372.7   433.1   699.8  3149.9  13436.8    13444
read      416.2   577.4    93.8   150.1   166.5   298.2   367.3   410.7   449.2   507.6   630.0  1027.2  2826.1  7708.0 15646.1  72185.5    72057
read      267.1   118.0    93.8   139.7   152.5   250.2   305.5   332.7   351.0   371.7   397.7   436.9   550.9  1050.8  4101.5  69749.8    70041
read      277.0   165.8    86.8   142.1   155.9   250.8   305.4   334.7   355.4   379.6   410.6   462.7   673.6  2335.0  4193.6  90318.2    90162
read      293.0   152.0    86.8   141.6   155.1   273.0   328.4   359.8   383.5   412.4   451.1   507.7   667.0  1700.9  3858.7  52211.0    52082
read      281.3   105.0    93.8   154.5   170.8   278.6   313.5   332.4   345.3   362.0   382.1   414.3   486.4  1080.3  3582.6  24177.8    24258
read      300.9   216.1    93.8   138.5   151.5   261.2   325.6   365.5   397.0   436.3   488.5   568.5   807.5  2436.9  8151.8  71774.5    72013
read      292.5   160.0    80.4   135.4   148.9   266.9   327.0   362.2   389.1   421.9   463.8   529.1   718.9  1716.2  3535.1  58012.5    58012
read      309.8   199.1    93.8   142.3   157.2   282.6   339.1   371.6   396.6   427.4   467.5   539.0   845.7  2679.7  5425.1  45284.5    45398
read      274.0   114.9    86.8   137.9   150.3   260.8   312.6   341.0   362.1   386.5   417.2   462.1   550.8  1076.2  2157.9  50067.5    50177
read      283.9   113.6    86.8   145.6   161.0   278.1   322.6   346.1   363.9   384.0   408.4   448.5   532.5   819.1  3049.3  34548.0    34504
