#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      211.1    96.7    86.8   145.1   156.8   201.7   220.8   232.1   240.7   251.2   267.0   294.1   376.7  1118.3  5983.9   4986.0     5000  1778157666590  1778157668844
read      229.6    70.1    86.8   139.0   159.0   227.1   249.2   261.4   269.9   280.6   295.1   320.3   388.7   578.6  2995.1  14903.5    15000  1778157670349  1778157672588
read      236.2    78.8    80.4   127.2   144.1   238.2   265.0   278.5   289.0   300.5   316.3   341.9   403.8   528.9  2260.2  24852.0    25000  1778157674092  1778157676302
read      244.1    78.3    68.9   122.4   137.8   247.8   283.0   300.0   311.9   325.1   342.4   369.2   427.7   541.1   712.2  34932.8    35000  1778157677806  1778157680008
read      248.0    91.0    74.4   120.6   135.0   249.0   291.8   311.6   324.9   340.0   359.6   389.5   459.4   604.9  1915.4  45118.5    45000  1778157681513  1778157683714
read      247.4    98.7    74.4   117.7   131.3   240.7   291.9   315.4   331.5   349.1   371.9   406.7   486.2   627.5  1117.8  55041.5    55000  1778157685218  1778157687420
read      250.1   106.1    68.9   116.8   130.7   238.6   294.8   320.3   338.0   358.1   383.2   422.9   508.1   701.8  2037.0  64993.0    65000  1778157688923  1778157691129
read      251.1   105.0    74.4   119.0   132.9   235.3   291.2   319.0   338.6   361.5   390.5   433.7   529.1   705.7  1681.3  75040.5    75000  1778157692633  1778157694835
read      255.4   113.7    74.4   120.4   135.3   238.6   293.1   321.2   341.6   365.8   396.1   445.2   551.6   753.2  1587.9  84841.9    85000  1778157696338  1778157698540
read      263.4   122.5    74.4   123.4   139.3   243.8   296.8   326.5   347.6   373.9   408.6   464.9   606.9  1009.4  3629.9  95018.4    95000  1778157700044  1778157702245
read      260.3   127.3    74.4   125.2   141.1   241.0   291.7   320.5   342.4   369.2   402.8   457.6   575.3   802.5  3731.4 104838.4   105000  1778157703749  1778157705949
read      381.6   187.7    74.4   156.9   185.8   347.2   420.3   464.4   500.4   549.0   627.7   756.0   942.1  1193.5  3361.8 114944.6   115000  1778157707453  1778157709653
read      479.9   192.7    80.4   242.9   283.8   432.2   508.2   580.3   641.6   705.3   769.7   848.0   981.6  1179.5  3789.3 123083.4   125000  1778157711157  1778157713360
