#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      213.1    96.7    93.8   150.5   161.1   203.4   220.7   230.7   237.6   248.8   263.7   290.6   375.0  1200.4  4401.8   4937.0     5000  1778157492449  1778157494701
read      236.2    60.5    86.8   149.4   167.1   233.7   256.0   268.7   277.3   289.1   303.5   326.2   379.9   677.0  1386.7  14979.5    15000  1778157496205  1778157498443
read      245.2    98.3    74.4   131.7   150.2   247.0   274.7   289.5   299.2   311.7   326.9   354.4   424.2   561.7  1018.8  25050.0    25000  1778157499948  1778157502149
read      248.5   119.2    74.4   123.9   139.7   248.9   283.9   300.8   313.0   326.8   344.3   372.6   449.2  1311.4  3874.9  34780.4    35000  1778157503653  1778157505853
read      244.4    88.0    74.4   118.9   132.6   244.0   286.8   307.2   320.4   337.0   357.2   388.0   455.9   571.7   944.2  44948.5    45000  1778157507358  1778157509558
read      250.6   108.6    74.4   119.0   132.7   243.3   294.3   318.5   335.3   354.2   377.0   412.4   490.1   629.1  3488.7  55039.0    55000  1778157511062  1778157513264
read      245.7    99.5    74.4   117.3   130.6   231.8   286.7   314.2   333.0   354.0   379.9   419.3   499.9   640.7  1421.7  65202.5    65000  1778157514769  1778157516970
read      244.5   101.6    68.9   116.2   129.6   229.9   285.0   312.4   331.2   352.7   379.3   420.1   505.0   653.6  1158.3  75136.4    75000  1778157518475  1778157520675
read      252.4   116.1    68.9   118.7   133.0   235.5   289.9   317.9   338.2   362.2   392.8   439.6   542.6   695.3  2993.3  84975.9    85000  1778157522180  1778157524381
read      256.1   109.3    74.4   124.0   139.1   238.5   290.8   318.9   339.9   364.8   395.8   444.5   548.7   754.5  1642.5  95043.5    95000  1778157525886  1778157528085
read      270.0   114.2    74.4   129.7   146.2   252.1   304.6   334.1   356.1   382.5   416.9   470.2   589.9   835.6  1647.6 105245.5   105000  1778157529590  1778157531791
read      285.7   127.7    80.4   134.4   152.8   264.7   318.2   349.6   373.8   403.3   444.3   508.3   664.0   895.3  1987.2 114936.9   115000  1778157533296  1778157535498
read      431.1   190.4    86.8   190.5   226.9   396.0   464.0   510.2   558.4   632.0   720.8   812.7   938.2  1093.3  2331.4 123777.9   125000  1778157537002  1778157539204
