#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      219.4    72.0    93.8   150.8   162.9   210.1   229.2   240.4   249.9   262.4   280.9   314.9   400.6  1162.8  2567.5   4957.5     5000  1778157557820  1778157560079
read      228.3    83.6    80.4   141.4   160.0   226.0   247.0   258.5   267.1   276.1   290.6   313.9   383.0   566.7  3771.6  14947.5    15000  1778157561584  1778157563822
read      240.8    88.9    80.4   129.7   146.9   241.5   269.7   284.6   294.6   307.4   321.4   346.8   416.6   615.6  4082.4  24834.0    25000  1778157565327  1778157567528
read      248.3   101.8    74.4   124.4   139.2   251.8   286.4   303.2   314.8   328.7   345.4   373.3   441.4   577.7  3772.6  34912.5    35000  1778157569032  1778157571233
read      251.1   113.2    74.4   119.3   133.5   250.2   294.1   314.6   329.1   345.0   366.7   398.7   469.3   634.6  3922.1  44912.0    45000  1778157572738  1778157574941
read      248.1   115.3    74.4   117.2   131.0   241.9   293.1   316.0   331.8   349.2   371.7   405.6   483.5   620.9  2839.8  55349.0    55000  1778157576447  1778157578647
read      251.5   118.3    68.9   118.5   132.6   240.0   294.6   319.7   337.1   356.6   380.5   419.9   516.5   921.3  3307.3  64825.5    65000  1778157580151  1778157582351
read      248.1   107.4    74.4   117.4   131.2   232.6   287.3   314.7   333.9   356.1   384.5   428.1   525.6   715.4  2005.2  75238.5    75000  1778157583856  1778157586055
read      255.3   106.1    74.4   121.3   136.0   238.4   292.8   321.2   341.8   365.9   396.4   444.8   548.2   745.3  1345.0  85025.0    85000  1778157587560  1778157589760
read      262.3   111.9    74.4   123.6   139.4   245.6   298.0   326.5   347.6   373.0   406.0   460.3   578.8   787.3  1250.2  94847.5    95000  1778157591264  1778157593467
read      281.6   152.5    74.4   129.7   147.6   258.2   313.0   344.2   368.6   398.1   437.2   504.2   673.9  1172.5  6162.2 104983.4   105000  1778157594972  1778157597173
read      377.1   195.5    74.4   156.3   183.4   337.7   412.1   458.5   494.9   543.3   618.0   742.9  1000.6  1757.0  3153.1 114912.9   115000  1778157598678  1778157600878
read      522.5   226.8    86.8   270.4   312.7   466.4   550.9   635.3   699.9   762.1   827.3   910.4  1063.2  1782.6  5147.9 118848.9   125000  1778157602383  1778157604586
