Timestamp start: 1778605687891
Timestamp end: 1778607488198

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      285.5   148.9    86.8   138.9   152.7   262.4   321.0   351.6   373.3   400.1   436.1   504.8   714.5  1275.7  4080.3  70081.0    70041
read      278.7   152.7    80.4   140.5   154.8   256.6   311.3   339.8   360.2   383.9   414.6   465.2   650.1  1922.3  4333.6  90060.8    90162
read      285.6   129.4    86.8   136.1   149.8   272.5   327.2   357.2   378.7   403.8   436.7   488.6   609.6  1085.6  3117.0  51994.5    52082
read      281.4   102.0    93.8   153.9   171.2   280.7   314.7   332.9   345.3   361.6   380.9   410.7   485.0   921.7  2805.5  24252.5    24258
read      296.3   196.9    80.4   139.3   153.5   266.1   325.4   357.3   380.5   408.8   450.7   528.9   823.1  2467.9  6625.6  72060.9    72013
read      309.9   153.3    86.8   146.0   161.5   288.1   347.7   382.2   407.6   439.6   483.3   550.7   738.1  1291.2  3718.5  58037.6    58012
read      298.4   124.0    86.8   147.9   163.1   290.3   342.0   369.5   389.6   412.7   443.0   490.8   594.6   882.0  3165.3  45353.3    45398
read      298.6   131.1    86.8   145.2   160.6   286.6   340.6   370.2   392.2   418.4   452.7   504.6   624.9   920.9  3180.4  50128.3    50177
read      299.8   135.6    86.8   151.8   168.5   293.6   338.1   362.5   379.9   400.7   428.5   470.1   578.0  1154.4  4158.0  34545.7    34504
read      313.4   195.4    86.8   139.2   153.7   277.1   340.9   381.6   414.9   457.6   512.2   602.8   833.2  2220.9  4711.1  66057.2    66010
read      284.2   172.3    86.8   140.1   154.2   261.9   317.1   345.2   365.8   389.9   422.4   480.4   726.7  1863.2  7208.2  73869.7    73937
read      299.1   146.6    80.4   139.6   153.9   279.9   336.8   369.3   394.6   426.1   467.6   534.9   704.1  1380.7  2755.0  54992.6    55020
read      299.8   153.3    86.8   140.4   154.9   281.5   337.9   370.5   395.6   426.1   465.7   527.6   683.5  1434.9  3723.5  53219.5    53235
read      324.8   316.3    86.8   145.8   162.3   274.7   329.9   361.4   385.2   415.5   460.7   558.8  1649.0  3725.7  7871.7  97643.2    97743
read      248.4   132.7    93.8   171.0   185.0   240.7   261.1   271.9   280.3   290.6   303.8   324.9   388.3  1334.5  7216.7   5434.6     5419
read      276.3    88.3    93.8   169.0   189.5   273.7   300.7   315.5   326.2   339.4   356.4   382.7   442.6   886.1  3198.6  14736.5    14764
read      260.0   163.9   101.3   172.8   188.7   251.2   272.8   285.4   293.8   305.4   319.2   344.5   427.0  1815.0  7772.5   7504.7     7451
read      296.9   150.3    86.8   141.2   156.0   282.3   335.9   366.0   388.4   414.9   450.0   504.4   649.6  1459.4  4160.8  48048.7    48208
read      274.8   107.8   101.3   163.5   183.1   270.9   298.1   313.5   324.0   337.8   355.1   383.3   460.4  1349.1  3227.4  16146.7    16149
read      277.5   154.0    86.8   138.7   152.3   255.2   311.2   339.9   360.5   384.3   415.4   467.1   668.7  1926.0  4392.1  78914.0    78989
read      278.5   109.0    93.8   161.0   179.9   276.8   306.5   321.6   333.8   346.0   364.7   392.9   463.2  1081.4  4671.4  18953.0    18886
read      266.2   112.8    86.8   137.0   150.5   250.0   306.8   334.9   353.8   374.6   400.9   440.5   536.7   780.8  2895.0  75958.9    75954
read      281.6   107.0    86.8   142.1   157.2   278.3   327.0   351.1   368.0   387.5   410.9   447.8   522.3   658.9  2727.6  44500.9    44409
read      271.3    82.5    93.8   164.5   183.2   272.6   299.0   313.0   322.0   334.7   347.9   371.4   421.7   534.1  3623.3  16384.3    16431
read      273.6   128.4    80.4   138.9   152.7   252.0   308.2   337.3   357.9   381.5   411.9   463.8   662.7  1152.3  3105.1  85754.1    85707
read      283.3   122.9    80.4   138.7   152.9   270.0   326.5   355.9   376.3   400.6   432.5   482.4   588.5   782.8  3151.9  58238.6    58253
read      302.6   238.4    80.4   146.4   162.6   269.4   322.4   351.8   372.7   398.6   433.7   499.4   886.0  3476.0  7112.6 103756.2   103867
read      279.0   101.2    93.8   159.5   177.4   280.7   311.2   326.8   338.1   350.7   368.0   394.1   449.3   581.4  4474.4  21561.7    21604
read      271.5   119.2    86.8   139.8   154.0   252.3   306.7   335.0   354.9   377.4   405.5   453.9   599.0  1095.2  2462.1  90485.0    90401
read      269.7   113.9    86.8   139.9   154.2   252.9   307.9   336.1   355.5   377.0   403.4   445.9   543.0   819.8  3148.7  84339.3    84467
read      275.3   118.9    80.4   142.6   157.9   257.9   310.1   337.9   357.8   380.4   409.5   457.8   587.8   970.6  2975.7  99748.0    99700
read      283.7   113.1    86.8   150.5   166.7   285.3   323.6   342.7   356.6   371.5   392.1   422.4   489.4   650.5  3767.0  32100.1    32052
read      272.2    85.6    93.8   161.8   180.1   273.6   301.3   315.6   325.8   338.2   353.4   375.6   428.7   531.7  2633.9  18227.5    18173
read      289.2   138.2    86.8   137.9   151.9   266.5   327.2   361.1   386.4   417.7   460.0   525.2   671.0   915.9  3302.1  67747.3    67789
read      281.5   116.5    86.8   139.5   154.0   272.9   326.2   353.3   372.1   394.5   422.7   465.5   551.2   717.5  2410.8  51928.3    51929
read      267.3   125.7    80.4   137.2   150.8   248.0   304.2   332.9   352.6   374.4   402.0   447.6   579.0   938.2  3346.0  83812.3    83850
read      272.9    90.6    93.8   162.1   180.1   274.4   302.2   316.5   327.0   339.0   354.2   376.3   429.6   537.2  2793.5  18599.3    18614
read      280.9    90.9    86.8   152.2   168.6   283.8   319.8   338.4   351.0   366.2   385.1   412.7   469.5   578.7  2242.9  29346.0    29315
read      319.9   306.7    86.8   148.9   165.5   275.5   329.1   359.1   381.1   407.9   447.4   522.3  1544.5  3696.6  7908.8 108181.3   108090
read      279.8    98.0    93.8   153.7   170.6   282.8   316.7   334.2   345.4   360.2   376.3   402.5   462.0   584.7  3779.4  27106.0    27024
read      281.2   121.7    86.8   140.1   154.6   273.8   325.9   352.2   370.5   391.9   418.6   459.4   542.7   723.2  3302.2  49959.3    49907
read      252.3    95.3   101.3   168.0   184.4   249.9   271.3   283.1   291.2   300.5   314.0   335.1   382.7  1107.5  4096.7   9179.5     9150
read      281.1   104.7    86.8   148.8   164.1   283.0   322.8   342.5   356.7   372.0   392.8   422.9   483.7   592.1  2767.9  34250.5    34328
read      280.8   120.8    86.8   139.0   153.4   272.0   325.0   351.8   370.5   392.6   420.7   463.5   550.3   741.4  3221.4  51901.6    51881
read      265.9    81.8    93.8   165.5   184.2   266.1   290.7   303.8   313.2   323.4   338.6   361.3   407.9   598.4  3094.8  14579.6    14569
read      278.5   141.2    86.8   138.7   152.7   254.2   311.9   341.9   363.8   389.5   424.3   489.6   709.7  1116.7  3126.6  81562.7    81517
read      264.8   109.1    80.4   137.4   150.8   248.5   305.0   333.1   352.1   373.0   399.0   436.7   526.2   765.8  2347.7  78580.9    78694
