Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778609921931
Timestamp end: 1778611722255

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      252.9   105.1   101.3   175.8   191.4   247.2   267.3   277.9   286.9   295.8   310.5   332.4   388.4  1178.5  5371.1   6940.0     6927
read      287.8   133.2    86.8   136.9   150.6   274.2   329.9   360.3   382.1   407.3   440.3   491.5   614.9  1185.9  3298.0  52812.6    52892
read      299.1   209.6    86.8   143.1   158.4   263.1   318.2   348.5   371.1   398.8   437.5   522.0  1051.2  2774.3  5603.7  98901.7    98921
read      291.9   162.5    86.8   137.1   150.6   270.1   330.0   362.8   387.2   416.8   456.0   517.0   685.9  1561.4  5086.2  61061.5    61129
read      288.1   123.9    86.8   143.1   158.0   281.7   330.2   355.7   373.6   395.3   422.7   463.8   557.3   975.1  3491.8  40642.0    40613
read      288.6   150.9    86.8   136.6   150.1   272.2   328.2   358.7   380.5   405.5   439.6   492.9   635.5  1703.7  4320.3  53176.8    53226
read      286.2   116.9    86.8   144.3   159.2   281.4   328.3   352.6   369.9   390.1   415.2   454.6   542.2   927.1  2948.4  38533.8    38560
read      294.9   216.9    86.8   143.2   158.6   262.2   316.5   345.9   367.9   394.0   429.7   495.9   900.9  3150.5  6325.1 103577.5   103465
read      285.6   180.4    80.4   142.8   158.0   259.2   313.0   342.2   363.6   388.9   422.8   481.0   706.2  2618.9  5484.7 104752.5   104758
read      278.6   168.5    86.8   140.3   154.5   253.2   308.0   337.2   358.0   382.0   413.4   464.9   665.4  2344.6  4286.2  94775.2    94759
read      284.4   115.8    86.8   144.9   159.8   280.8   325.8   349.0   365.8   385.1   408.1   446.1   532.9   856.6  3746.5  37726.9    37799
read      250.7   100.9   109.4   172.8   189.0   245.8   266.0   276.3   285.3   294.4   308.1   327.9   379.1  1166.2  4886.8   8367.1     8296
read      299.3   195.9    86.8   135.7   149.4   265.9   330.5   368.1   397.2   433.2   480.1   553.9   780.6  2340.3  6820.3  69356.0    69443
read      262.3   109.7    93.8   168.3   188.0   258.9   282.4   294.8   304.5   315.2   329.8   352.2   405.4  1135.8  6032.5  12527.4    12517
read      286.4   121.5    86.8   141.8   156.1   278.1   328.6   355.3   373.9   396.6   425.3   467.8   569.5  1018.6  2710.4  43576.7    43591
read      276.3    89.5    86.8   159.2   176.8   275.8   306.6   322.1   334.5   347.0   366.1   393.8   456.5   810.3  3109.5  20408.1    20430
read      288.3   200.4    86.8   140.1   154.4   254.8   310.6   340.6   362.6   388.7   424.4   492.8   951.4  2616.6  6263.0  93869.0    93758
read      255.9    94.7   101.3   169.2   187.7   252.4   274.0   286.6   294.7   305.7   318.2   341.0   397.3  1117.2  4035.5  10479.0    10485
read      274.7    83.8    93.8   168.7   188.3   272.9   299.9   314.5   324.7   337.8   353.6   377.6   435.5   826.2  3403.3  16460.6    16518
read      288.6   187.2    86.8   139.4   153.3   256.3   314.9   346.1   369.5   397.7   436.4   513.3   810.4  2300.2  5727.6  83140.0    83230
read      252.0    97.6   109.4   178.9   193.3   245.9   265.4   275.1   284.2   293.4   307.0   327.9   386.5  1179.0  4319.3   5493.1     5484
read      307.2   170.4    86.8   142.2   156.7   282.8   344.5   380.6   407.4   441.2   484.9   551.4   734.9  1658.4  4522.3  55631.3    55611
read      289.5    96.8    93.8   163.8   182.1   288.3   320.6   338.6   351.0   366.3   385.8   415.9   490.1   923.2  2829.2  20809.2    20774
