Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778602009094
Timestamp end: 1778603809399

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      301.3   175.0    86.8   138.3   151.8   270.3   333.4   371.0   400.4   436.6   485.1   557.3   776.1  1898.3  4676.0  61577.4    61431
read      276.5   158.0    86.8   138.5   152.2   251.2   306.8   336.0   356.8   380.9   412.5   466.4   716.7  1964.7  4576.1  87245.7    87172
read      287.0   180.8    80.4   144.1   159.8   260.3   312.3   341.2   362.9   388.6   422.8   482.1   716.7  2713.7  5328.8 108174.5   108181
read      269.5   130.8    86.8   137.5   150.7   248.0   304.9   334.3   354.6   377.5   405.9   453.5   594.3  1372.4  3212.8  80446.1    80515
read      293.6   128.2    93.8   148.1   163.0   285.9   334.2   360.2   378.3   400.0   428.0   469.7   573.6  1063.3  3857.2  37093.4    37149
read      273.8    92.5   101.3   168.2   187.0   271.4   298.1   313.0   322.8   336.4   352.4   377.1   435.6  1041.2  3800.6  13459.8    13444
read      307.9   207.9    80.4   139.1   152.8   264.4   330.2   371.5   405.7   451.5   509.7   602.9   864.1  2424.0  6911.4  71934.8    72057
read      292.9   158.8    86.8   137.4   150.6   260.8   323.7   361.2   390.7   428.9   480.4   556.1   743.7  1510.2  3981.5  70051.6    70041
read      277.9   175.8    86.8   137.0   150.6   246.6   303.1   333.6   355.5   381.4   416.8   482.6   796.9  2214.4  5196.2  90192.0    90162
read      282.9   139.4    86.8   136.2   149.7   268.1   322.7   352.1   373.1   398.5   431.1   481.9   602.8  1506.0  3297.1  51996.9    52082
read      274.4    93.8    86.8   151.6   168.1   273.8   308.0   325.7   338.7   353.7   371.9   401.1   465.7   782.0  2832.3  24227.7    24258
read      294.6   194.8    80.4   135.5   149.3   258.0   320.8   358.3   387.4   424.6   476.1   560.9   793.8  2124.3  7132.9  71969.3    72013
