#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      229.8    77.3    93.8   151.7   163.2   221.8   248.7   263.7   273.8   287.0   302.8   328.3   389.7   576.7  2993.5  29978.5    30000  1776500721958  1776500732118
read      230.4    83.3    93.8   151.9   163.6   222.2   248.7   263.5   273.3   286.3   302.0   328.6   393.8   643.5  3175.9  29937.8    30005  1776500733632  1776500743757
read      234.2    87.6   101.3   153.8   165.2   224.1   251.2   266.7   277.5   291.4   309.7   339.0   418.6   986.8  3358.4  30046.9    30010  1776500745271  1776500755371
read      235.4    95.1   101.3   156.2   167.4   225.4   252.5   268.1   279.1   292.7   310.9   339.3   406.8   760.8  4040.7  30026.0    30015  1776500756885  1776500766985
read      240.5    89.7   101.3   157.0   169.2   231.1   259.8   275.1   287.4   300.7   318.5   346.2   414.0   684.9  3345.7  30048.5    30020  1776500768500  1776500778601
read      229.8    91.2   101.3   151.8   162.9   219.5   246.6   262.3   273.2   287.5   305.5   334.3   401.1   693.1  3454.6  30116.8    30025  1776500780114  1776500790216
read      240.7    91.7   101.3   156.3   168.0   229.0   258.9   275.5   288.8   303.8   322.5   354.2   427.1   963.4  3446.9  30018.0    30030  1776500791728  1776500801827
read      237.7    92.2    93.8   155.8   166.8   225.7   254.6   271.5   284.1   298.0   317.7   347.7   424.1  1024.7  3825.9  30073.4    30035  1776500803339  1776500813441
read      237.8    98.1    93.8   152.0   163.4   225.4   255.8   273.2   286.6   301.9   321.3   355.1   429.5  1032.4  3764.2  30104.2    30040  1776500814955  1776500825057
read      235.8    88.7   101.3   152.7   164.1   224.9   254.2   270.9   283.4   297.3   317.2   346.7   419.5   716.0  3672.1  30101.8    30045  1776500826571  1776500836669
read      243.5    97.0   101.3   155.7   167.9   231.1   261.9   279.4   292.7   308.9   329.3   362.3   436.2   942.8  3894.0  30122.3    30050  1776500838182  1776500848279
read      236.9    95.9   101.3   152.2   163.8   224.6   254.7   272.3   285.6   300.7   320.1   352.2   427.7   769.2  3894.3  30114.6    30055  1776500849793  1776500859893
read      239.1    98.1   101.3   152.9   164.5   227.1   257.8   274.8   288.3   303.6   323.0   355.2   426.7   863.9  3971.1  29998.9    30060  1776500861407  1776500871507
read      240.9    95.4   101.3   156.0   167.4   229.1   259.6   276.8   290.2   305.7   325.0   356.0   424.9   774.3  3677.2  29994.1    30065  1776500873018  1776500883119
read      233.7    97.6   101.3   153.5   164.9   223.5   251.1   267.0   278.0   291.9   309.8   337.7   401.9   798.4  3987.3  29957.1    30070  1776500884631  1776500894731
read      235.2    86.4   101.3   155.9   167.3   226.2   253.2   268.3   278.9   292.0   309.4   336.7   400.5   773.1  3468.5  30031.0    30075  1776500896243  1776500906343
read      232.5    96.0    93.8   151.0   162.4   221.2   248.8   264.7   275.3   290.1   308.9   339.4   423.7  1157.7  3822.0  30103.4    30080  1776500907857  1776500917961
read      239.6    93.5   101.3   153.9   165.9   228.9   259.1   275.5   288.4   302.8   320.7   351.0   420.7   875.7  3913.0  30103.0    30085  1776500919475  1776500929574
read      234.9    93.8    93.8   149.8   161.2   223.3   253.1   270.3   282.9   297.1   317.1   347.0   424.1  1063.5  3149.7  30134.0    30090  1776500931088  1776500941190
read      226.2    93.2   101.3   145.8   156.3   214.3   243.2   260.2   271.9   286.7   305.5   336.2   409.5  1029.2  3652.3  30056.5    30095  1776500942702  1776500952801
read      238.1    91.6   101.3   152.7   164.6   227.4   258.0   274.6   287.3   301.3   319.3   348.0   420.1   856.8  3482.6  30095.0    30100  1776500954314  1776500964414
read      230.7    88.1    93.8   152.1   163.7   222.1   248.8   263.8   273.7   287.1   303.2   329.7   392.6   788.1  3485.3  30084.8    30105  1776500965926  1776500976048
read      226.9    80.8   101.3   150.9   162.3   219.1   244.8   259.1   269.4   281.7   296.8   322.4   382.7   508.7  3862.6  30157.9    30110  1776500977560  1776500987662
read      228.8    91.4   101.3   151.7   163.2   221.1   247.6   262.2   271.9   284.3   298.5   321.5   378.2   599.7  3231.0  30097.2    30115  1776500989174  1776500999272
