#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      217.1   152.1    86.8   147.7   160.0   204.3   223.6   234.6   243.6   253.1   266.8   289.7   375.1  2104.3  7550.9   4878.5     5000  1778156094858  1778156097123
read      249.4   103.0    86.8   142.5   162.4   246.7   273.4   288.4   298.4   311.8   328.1   354.7   414.1  1005.3  4022.8  14859.5    15000  1778156098628  1778156100867
read      263.8   105.5    80.4   129.7   147.1   263.6   301.8   320.9   335.6   351.6   371.8   402.2   463.1   591.0  3723.8  24960.5    25000  1778156102371  1778156104575
read      276.8   136.8    74.4   126.5   143.2   270.9   321.6   346.9   365.4   386.0   410.9   448.4   532.6  1288.6  3153.2  34950.5    35000  1778156106079  1778156108287
read      286.7   118.3    80.4   128.5   145.5   275.6   335.1   366.0   387.9   412.7   442.9   489.4   581.5   798.0  1386.6  44953.0    45000  1778156109791  1778156111992
read      285.8   133.5    74.4   127.0   144.2   266.6   330.0   365.4   390.8   419.3   453.4   502.0   593.9   792.7  3433.1  55031.7    55000  1778156113498  1778156115702
read      306.3   147.0    74.4   131.1   151.3   281.3   346.4   386.9   415.8   449.5   491.3   553.9   702.5  1230.4  2305.1  65083.0    65000  1778156117207  1778156119412
read      630.4   374.4    80.4   191.0   239.3   638.0   714.9   748.2   781.3   824.7  1081.4  1343.0  1531.1  3106.2  9144.1  74841.5    75000  1778156120917  1778156123123
read      816.9   342.0    93.8   583.3   613.8   722.5   767.1   798.5   842.1  1142.3  1322.6  1432.3  1586.3  6812.2  7528.6  79764.0    85000  1778156124627  1778156126827
read      886.1   379.0   148.8   653.6   686.0   780.0   817.5   852.0   873.5  1229.1  1444.4  1547.5  1693.1  7161.5  8903.2  74382.5    95000  1778156128332  1778156130537
read      819.0   356.8   118.1   574.0   609.3   717.3   761.1   797.8   853.8  1210.0  1331.6  1427.5  1573.2  7012.8  7522.1  80067.9   105000  1778156132042  1778156134243
read      825.2   349.7   160.7   594.8   618.9   721.4   763.4   796.9   848.9  1221.1  1339.5  1435.5  1577.0  7009.9  7639.6  79710.3   115000  1778156135747  1778156137949
read      827.6   368.5   127.6   569.4   605.0   723.9   778.1   816.8   883.2  1206.3  1330.9  1437.8  1599.1  7050.9  9403.9  79560.4   125000  1778156139453  1778156141655
