#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      215.3    69.0    93.8   149.4   161.9   208.6   227.7   237.8   246.9   256.5   272.0   295.3   358.7  1139.1  2036.2   5022.0     5000  1778156164326  1778156166604
read      256.6   103.5    80.4   144.5   165.2   252.3   282.4   298.3   310.6   323.7   341.9   370.1   434.4  1255.5  3171.9  15032.0    15000  1778156168108  1778156170346
read      269.1    90.5    80.4   133.8   151.2   270.4   309.3   329.1   342.7   359.7   379.8   409.6   470.0   575.4  1963.5  24857.5    25000  1778156171851  1778156174058
read      277.2   103.2    74.4   127.8   144.2   275.2   324.4   349.1   366.5   386.7   411.3   449.1   523.8   629.5  1617.2  34961.0    35000  1778156175563  1778156177763
read      279.6   135.1    74.4   124.8   141.3   267.2   327.0   358.5   379.7   403.5   433.7   475.2   565.0   739.7  1986.7  44981.5    45000  1778156179268  1778156181473
read      294.7   148.8    74.4   127.7   145.4   275.1   338.7   374.7   400.8   429.9   466.0   519.3   628.8  1089.5  3461.7  55115.0    55000  1778156182976  1778156185176
read      303.1   138.4    68.9   131.9   151.7   282.2   347.1   385.7   413.2   445.1   483.7   539.6   648.2   836.9  3627.9  65090.0    65000  1778156186681  1778156188881
read      835.2   383.1    86.8   461.0   604.0   764.1   811.1   849.2   873.1   981.6  1364.7  1493.8  1684.8  7090.0  9092.1  74253.0    75000  1778156190386  1778156192589
read      826.3   361.5   109.4   593.5   621.8   725.2   768.9   799.6   848.9  1194.8  1342.4  1443.1  1589.1  7097.8  9019.3  78946.4    85000  1778156194092  1778156196292
read      874.7   381.1   101.3   638.1   667.4   773.9   810.1   846.7   869.6  1117.6  1426.3  1536.4  1687.6  7129.4  7868.1  75232.0    95000  1778156197797  1778156199996
read      868.2   362.6   148.8   639.1   664.0   766.0   803.2   838.8   866.3  1218.8  1416.9  1515.3  1656.0  7116.5  7730.8  75799.5   105000  1778156201500  1778156203702
read      872.3   397.0   137.8   614.5   650.5   765.4   808.6   853.5   905.7  1277.7  1410.3  1512.1  1668.5  7098.8 13373.8  75621.5   115000  1778156205206  1778156207410
read      833.3   353.5   148.8   604.3   634.1   730.9   775.3   802.1   846.6  1209.3  1353.7  1452.3  1595.8  7021.3  8099.0  78996.8   125000  1778156208915  1778156211117
