#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      220.1   117.1    86.8   153.3   165.1   210.4   229.1   240.0   249.1   260.1   274.5   301.3   389.3  1170.4  6723.6   4921.5     5000  1778156267503  1778156269762
read      243.5    67.8    80.4   137.7   157.8   242.5   269.8   284.9   295.4   309.0   324.7   349.1   402.4   540.9  1386.0  15026.5    15000  1778156271266  1778156273513
read      264.4    89.6    80.4   132.3   149.8   264.2   302.4   321.7   336.3   352.5   372.4   403.4   473.9   698.0  1386.9  24968.5    25000  1778156275017  1778156277217
read      278.3   106.6    80.4   130.1   146.1   274.3   324.7   349.4   367.6   388.6   414.3   453.2   535.9   732.7  1613.7  35135.0    35000  1778156278722  1778156280921
read      282.2   129.5    74.4   126.1   142.8   271.7   328.2   359.0   380.4   403.5   433.8   476.3   565.5   701.3  4037.5  45086.0    45000  1778156282426  1778156284627
read      292.3   132.2    74.4   128.7   146.6   273.3   337.1   372.5   398.0   426.6   461.8   514.3   626.7   938.3  3113.4  54957.8    55000  1778156286132  1778156288336
read      300.3   128.4    74.4   132.9   152.1   278.3   344.4   383.5   411.1   442.5   481.1   537.8   640.7   815.7  1349.0  64937.5    65000  1778156289841  1778156292042
read      349.5   179.8    74.4   147.6   172.1   321.9   396.5   440.0   470.0   506.6   553.6   631.3   820.4  1221.1  4367.8  74969.5    75000  1778156293546  1778156295748
read      775.4   320.3   109.4   523.8   560.9   675.2   731.3   787.4   939.1  1152.2  1245.2  1337.2  1480.7  3444.3  7513.8  82679.5    85000  1778156297253  1778156299454
read      862.5   381.0   109.4   616.1   651.1   759.3   801.4   840.5   872.0  1225.7  1399.9  1495.7  1650.0  7158.7  9082.7  76286.0    95000  1778156300958  1778156303162
read      795.0   351.8    86.8   538.5   578.9   694.1   743.3   790.2   864.6  1176.0  1284.3  1380.3  1563.6  6363.7  7514.7  82425.0   105000  1778156304666  1778156306869
read      825.2   346.4   101.3   557.8   598.2   721.3   779.7   832.1   973.2  1219.5  1325.7  1425.2  1590.4  6188.9  7815.9  79487.6   115000  1778156308373  1778156310575
read      860.1   377.5   127.6   602.6   642.8   758.3   801.9   842.5   877.2  1216.2  1392.5  1493.3  1644.0  7095.4  7846.5  76550.5   125000  1778156312080  1778156314281
