Random waveform, supplied seed
Total number of intervals = 400 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730)
Average QPS expected = 57995
Timestamp start: 1778621207779
Timestamp end: 1778623008168

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      300.7   249.0    86.8   138.6   152.1   248.3   306.5   341.2   369.0   406.3   472.8   630.5  1045.4  3366.5  6433.1  96445.6    96726
read      278.1   110.0    93.8   149.3   163.8   275.9   313.3   332.9   345.9   363.3   384.7   419.7   508.0  1050.8  3144.5  32366.0    32442
read      288.4   202.3    86.8   133.7   146.2   252.9   315.2   352.1   380.7   416.2   461.5   530.7   740.4  2867.6  6101.6  73372.9    73039
read      285.7   173.7    86.8   133.3   145.8   250.3   313.0   349.8   378.9   415.7   463.0   533.7   745.7  2280.1  3764.4  74052.2    74055
read      275.2   121.9    93.8   137.0   149.6   261.7   314.0   342.5   363.5   387.8   418.8   464.3   569.6  1058.9  2813.4  51212.9    51197
read      283.1   148.0    86.8   136.3   149.1   262.3   319.6   351.9   375.6   403.7   441.7   497.2   641.1  1334.7  4461.7  59347.6    59442
read      278.3   157.2    86.8   142.7   156.7   270.5   312.3   334.2   349.2   367.6   391.3   427.3   516.3  2194.6  5261.3  35703.6    35654
read      288.7   181.9    86.8   133.7   146.4   250.0   314.3   353.2   384.5   423.3   471.6   545.9   767.7  2247.1  4015.5  78703.3    78747
read      274.8   116.7    86.8   139.7   152.5   267.0   313.5   337.9   355.3   375.2   401.5   441.5   538.5  1235.9  2826.4  42225.3    42212
read      275.2   147.3    86.8   136.3   148.9   261.4   313.9   342.6   364.1   389.2   421.0   466.6   563.3   932.6  3101.0  52540.7    52488
read      272.6   101.8    93.8   141.8   155.3   268.8   311.6   334.3   349.8   368.5   391.9   426.6   501.9   788.8  2325.7  36818.9    36950
read      260.2   139.3   101.3   156.1   174.4   257.3   282.8   296.0   306.6   317.8   334.0   358.3   419.6   998.4  8875.1  16705.6    16762
read      293.3   230.6    86.8   134.3   147.1   250.7   315.3   354.8   387.0   427.3   477.3   551.1   773.2  3125.5  8004.0  79347.1    79473
read      279.2   137.6    86.8   134.9   147.5   258.8   315.5   346.8   371.0   399.5   436.3   490.9   627.0  1571.6  2821.7  61586.7    61431
read      283.9   192.6    86.8   137.9   150.9   247.7   306.3   338.6   363.0   393.1   435.2   518.4   799.6  2740.5  5384.5  87594.7    87172
read      286.9   186.4    93.8   148.3   163.5   262.6   313.6   341.7   362.3   386.4   418.5   470.5   666.9  2521.4  7160.2 108210.9   108181
read      267.9   118.7    86.8   140.7   154.1   249.0   304.2   332.6   352.1   373.8   400.8   442.6   550.2  1073.1  2299.8  80656.0    80515
read      288.5   108.6    93.8   150.5   165.6   283.8   327.6   350.7   367.5   387.5   412.7   453.6   544.7   920.3  3033.8  36950.2    37149
read      251.1    67.5   101.3   161.2   178.9   249.7   272.3   285.0   293.5   304.5   317.7   340.6   389.1   612.4  2879.1  13444.7    13444
read      287.3   195.8    86.8   134.1   146.8   254.3   315.4   350.7   378.0   412.6   457.4   523.5   726.4  2613.1  5909.8  72172.9    72057
read      283.9   153.9    86.8   134.4   147.0   256.6   317.4   352.6   379.3   412.5   455.4   517.7   688.2  1518.3  4283.7  69972.2    70041
read      278.3   195.0    86.8   138.5   151.7   245.5   301.5   331.7   352.9   378.0   410.9   468.2   829.6  2831.8  6647.3  89952.7    90162
read      289.8   125.3    86.8   141.6   155.0   275.0   330.6   361.1   383.8   410.8   446.3   499.3   620.0  1003.5  1765.6  52104.0    52082
