#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      229.3    73.0    93.8   153.5   165.0   222.7   248.4   262.6   272.1   284.2   297.8   320.9   375.1   501.9  2837.8  29893.4    30000  1776501351266  1776501361411
read      230.1    95.0    93.8   151.6   163.4   222.0   248.0   262.5   272.3   285.0   300.0   327.1   392.5   590.8  4154.2  29972.0    30005  1776501362923  1776501373052
read      228.4    80.4    93.8   151.1   162.6   220.6   247.4   262.2   272.1   284.6   298.8   322.4   382.2   617.2  3137.7  29919.6    30010  1776501374564  1776501384664
read      254.4   161.1   101.3   157.7   169.7   233.0   263.2   280.0   292.7   309.2   332.3   375.3   651.4  2534.4  5807.5  29974.9    30015  1776501386175  1776501396276
read      241.3   125.3    93.8   154.9   166.7   227.2   255.2   270.9   282.5   295.7   314.9   345.3   453.6  2028.5  4575.8  29941.9    30020  1776501397787  1776501407887
read      266.1   237.9   101.3   153.2   165.1   229.1   260.6   278.6   292.9   311.6   339.0   399.7  1256.2  3180.0  6326.9  29981.1    30025  1776501409401  1776501419499
read      273.9   251.1   101.3   156.5   168.1   232.2   265.1   284.7   299.7   319.7   350.5   421.4  1345.2  3252.0  6332.4  30023.9    30030  1776501421012  1776501431111
read      276.8   286.4   101.3   152.8   164.5   229.7   263.1   283.4   298.7   319.6   352.5   428.7  1612.3  3654.0  6846.5  30053.1    30035  1776501432623  1776501442725
read      275.4   284.9    93.8   151.1   162.7   226.6   260.2   280.4   296.0   317.1   348.7   427.2  1639.7  3773.5  6396.7  30042.6    30040  1776501444237  1776501454336
read      244.9   138.3   101.3   154.9   166.5   226.6   255.8   273.0   286.4   301.9   322.4   360.9   503.4  2250.9  4300.0  30092.7    30045  1776501455848  1776501465949
read      249.7   178.4   101.3   153.7   165.7   226.7   256.2   273.2   286.6   302.1   323.2   363.9   629.1  2712.0  6156.9  30067.6    30050  1776501467462  1776501477562
read      242.7   146.3    93.8   151.1   162.8   225.2   255.4   272.8   286.2   301.5   321.9   359.1   467.5  2533.1  5257.9  30058.0    30055  1776501479073  1776501489172
read      234.0   124.9   101.3   149.5   160.4   218.6   247.4   264.4   276.2   291.7   311.8   344.0   439.8  1943.2  4843.0  30023.4    30060  1776501490685  1776501500784
read      237.9   115.6    93.8   151.5   163.1   224.1   253.2   270.2   282.9   297.0   317.7   351.7   441.4  1691.6  4071.4  30007.7    30065  1776501502298  1776501512395
read      231.0   126.0    93.8   149.9   160.9   217.8   245.6   261.7   272.9   287.4   305.5   335.5   418.8  1699.6  5830.8  30082.0    30070  1776501513908  1776501524013
read      242.1   135.9    93.8   155.0   166.3   226.4   255.0   271.6   284.0   297.6   317.5   350.1   466.2  2084.2  5647.6  30047.1    30075  1776501525525  1776501535625
read      236.2   107.9   101.3   152.2   163.4   223.4   252.9   269.8   282.2   296.4   316.0   346.5   428.7  1451.2  4351.9  30070.5    30080  1776501537139  1776501547236
read      238.6   121.0   101.3   152.4   163.8   224.4   253.5   270.5   283.2   297.5   318.2   351.7   440.3  1900.9  4484.1  30013.2    30085  1776501548749  1776501558849
read      240.6   105.0   101.3   154.8   166.6   228.1   257.3   273.9   286.6   300.7   319.6   351.2   435.0  1586.4  3870.1  30011.8    30090  1776501560361  1776501570466
read      239.3   122.0   101.3   154.1   165.6   225.5   253.8   270.4   282.5   296.2   315.8   346.2   440.5  1753.6  4394.4  30136.5    30095  1776501571981  1776501582080
read      235.4   111.0    93.8   151.6   162.7   222.5   251.6   268.3   280.3   294.6   314.4   345.1   427.0  1648.0  4254.7  30190.0    30100  1776501583593  1776501593692
read      232.6   116.3    93.8   149.7   160.3   218.2   246.7   263.6   275.2   290.8   310.7   343.6   445.3  1571.6  4132.1  30071.4    30105  1776501595205  1776501605309
read      236.9    91.4   101.3   153.0   164.6   225.7   254.7   271.7   284.2   297.7   317.0   346.5   425.2   898.4  3447.6  30167.6    30110  1776501606821  1776501616918
read      230.3    94.9    93.8   151.7   163.0   220.4   247.6   263.2   273.8   287.8   305.2   333.7   400.8   648.3  4338.1  30091.2    30115  1776501618429  1776501628528
