#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      215.1   128.7    86.8   147.0   158.8   204.9   223.9   233.8   242.2   252.0   267.5   292.6   382.6  1202.7  7261.3   4925.0     5000  1778158026660  1778158028915
read      223.4    57.2    80.4   137.3   155.3   222.3   243.6   254.8   264.1   273.4   287.9   310.4   365.1   493.2  1281.7  15097.5    15000  1778158030420  1778158032660
read      243.7    70.8    74.4   132.9   149.9   245.6   273.5   288.5   298.3   311.3   326.8   352.7   410.6   535.7  1188.3  25070.0    25000  1778158034165  1778158036364
read      249.3    88.4    74.4   125.7   140.8   250.6   287.3   305.4   317.3   332.8   351.4   380.1   443.6   598.0  1956.2  35343.5    35000  1778158037869  1778158040071
read      251.0    93.0    74.4   117.9   132.2   253.1   294.5   314.6   328.9   345.1   367.9   401.4   471.9   578.1  1504.0  44713.5    45000  1778158041576  1778158043775
read      252.1   102.3    74.4   116.6   130.1   245.3   295.3   319.6   338.1   359.6   386.9   428.4   511.0   644.4  1617.8  54782.0    55000  1778158045280  1778158047481
read      258.4   116.7    74.4   116.3   130.1   245.0   299.4   327.0   346.8   373.0   408.4   465.8   576.4   733.2  1975.5  65152.0    65000  1778158048985  1778158051187
read      264.6   146.5    74.4   116.6   130.1   241.8   299.7   330.1   354.3   386.6   432.7   503.7   655.3  1046.2  4073.9  74824.0    75000  1778158052691  1778158054895
read      264.1   146.3    74.4   118.8   131.5   228.9   291.6   327.2   356.2   395.7   451.3   533.0   694.4   978.0  2200.4  84982.4    85000  1778158056399  1778158058602
read      265.9   153.8    68.9   116.1   129.0   221.9   284.0   321.2   354.8   401.9   468.0   573.9   799.6  1195.8  1774.1  95016.9    95000  1778158060106  1778158062306
read      326.9   295.3    68.9   126.1   142.1   248.2   308.2   350.7   393.2   463.5   580.5   809.4  1573.1  2853.3  7381.4 105256.4   105000  1778158063810  1778158066017
read      392.3   498.8    74.4   135.6   154.2   264.0   325.9   369.9   410.1   477.3   637.5  1110.0  3024.1  5930.8  8063.2 114966.0   115000  1778158067521  1778158069721
read      503.3   771.9    80.4   167.2   190.4   310.4   376.4   416.3   445.8   484.1   545.6  2484.5  3614.4  7734.8  9159.8 122959.4   125000  1778158071224  1778158073425
