#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      205.6   106.0    86.8   144.9   155.4   197.5   214.3   224.3   231.5   240.5   252.7   273.9   350.5  1158.4  6227.0   4892.5     5000  1778158170713  1778158172984
read      226.8    59.4    86.8   140.4   158.8   225.2   246.6   258.6   267.7   277.7   292.4   315.6   371.6   481.6  1801.6  15089.0    15000  1778158174489  1778158176729
read      242.8   124.5    74.4   131.4   147.7   243.3   271.8   286.7   296.3   309.1   323.2   346.9   406.1   553.5  5121.8  25191.0    25000  1778158178234  1778158180441
read      252.6   100.5    68.9   124.8   140.2   253.5   290.2   308.7   320.7   336.9   356.9   388.8   458.4   839.9  3230.3  35064.9    35000  1778158181945  1778158184153
read      255.5   107.7    74.4   121.1   136.0   253.1   296.9   318.9   335.1   353.6   377.2   414.4   494.5   659.2  3766.9  45164.5    45000  1778158185659  1778158187866
read      251.7    99.7    74.4   116.8   130.7   245.4   294.1   318.3   336.0   357.0   385.1   428.3   510.9   626.2  1284.6  54737.9    55000  1778158189372  1778158191573
read      252.5   115.8    68.9   115.5   128.5   235.1   292.1   320.4   342.1   368.9   402.6   456.8   558.6   723.6  2199.1  65063.0    65000  1778158193077  1778158195280
read      259.7   122.5    74.4   119.2   132.1   234.5   294.3   326.4   351.4   383.7   427.8   493.9   624.4   841.2  1193.3  74743.5    75000  1778158196783  1778158198987
read      264.7   142.8    68.9   117.7   130.9   231.1   292.4   326.5   355.4   395.3   452.4   536.1   700.2   932.6  3803.5  85003.0    85000  1778158200491  1778158202691
read      283.9   177.7    74.4   121.7   135.7   234.6   296.6   336.0   371.6   428.5   509.6   630.2   872.5  1351.1  3173.4  94814.5    95000  1778158204195  1778158206397
read      312.6   251.1    74.4   124.4   140.0   242.2   300.4   341.1   382.1   451.5   570.4   776.4  1291.7  2275.7  6035.8 104989.5   105000  1778158207900  1778158210100
read      395.6   477.4    74.4   136.6   155.5   268.3   331.3   375.9   418.4   485.5   662.4  1184.0  2691.6  4057.4  8039.8 114939.4   115000  1778158211604  1778158213807
read      540.6   823.6    80.4   181.5   206.7   331.8   406.8   452.9   486.5   529.0   596.0  3033.2  3727.3  7807.0 12373.1 119033.2   125000  1778158215311  1778158217513
