#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      205.6    79.9    93.8   142.5   153.2   197.6   215.3   226.0   233.4   244.3   258.7   284.8   356.1  1136.0  3112.7   4988.5     5000  1778158084611  1778158086866
read      224.3    55.7    80.4   139.5   157.2   222.9   244.4   256.2   265.3   274.4   289.2   312.3   369.2   468.3  1236.9  14909.0    15000  1778158088371  1778158090611
read      241.4    69.1    74.4   130.5   147.3   244.7   272.1   286.6   296.1   308.8   322.6   345.9   400.4   518.9  1144.6  24977.0    25000  1778158092115  1778158094316
read      246.1    81.3    74.4   123.7   139.1   248.3   284.1   301.7   313.8   328.1   345.7   374.9   436.7   542.7  1744.8  35057.0    35000  1778158095820  1778158098020
read      252.7   100.0    74.4   120.2   135.0   250.2   293.7   315.2   330.8   348.5   372.4   410.1   491.0   662.5  2109.4  44947.8    45000  1778158099524  1778158101725
read      254.2   104.2    68.9   116.0   130.2   249.4   297.9   321.9   339.7   361.1   388.9   431.7   514.4   674.1  1367.3  55146.0    55000  1778158103230  1778158105430
read      257.2   131.7    74.4   116.7   130.3   242.5   297.5   325.6   346.2   371.8   407.2   462.4   566.1   723.9  3223.0  65384.4    65000  1778158106934  1778158109140
read      262.7   130.2    74.4   118.7   131.8   237.6   296.5   329.0   354.0   387.5   433.2   502.8   640.2   854.0  3170.4  75162.0    75000  1778158110644  1778158112848
read      265.3   142.2    74.4   118.2   130.9   231.6   292.6   326.6   355.2   394.7   451.2   537.4   718.1  1069.6  2378.7  84769.5    85000  1778158114353  1778158116554
read      273.4   157.1    74.4   120.3   133.8   228.4   289.1   327.1   361.6   412.0   486.7   596.8   806.9  1197.6  1793.8  94893.5    95000  1778158118059  1778158120261
read      318.8   278.3    68.9   122.6   138.5   247.1   309.4   353.4   395.7   457.9   555.5   765.5  1381.4  2885.7  7537.6 104781.1   105000  1778158121766  1778158123965
read      366.3   458.1    74.4   131.0   147.9   252.5   313.4   357.3   397.7   461.9   584.0   958.7  2650.6  5165.7  8077.5 114961.2   115000  1778158125468  1778158127668
read      507.6   781.0    80.4   165.9   190.0   309.6   378.9   422.8   456.3   497.7   564.2  2408.3  3643.7  7736.5  9708.7 120990.2   125000  1778158129172  1778158131378
